environment_steps,updates,mean_episode_returns,entropy,loss,actor_loss,value_loss,reward_std_mean,deliveries,block_rate,idle_rate,pickup_rate,deliveries_early,deliveries_mid,deliveries_late,block_early,block_mid,block_late
5000,1,0.10000000149011612,1.4128984212875366,0.9525586366653442,0.7284386157989502,0.4482400417327881,2.611029049148783e-05,0.10000000149011612,0.022499999031424522,0.2782999873161316,0.03009999915957451,0.0,0.10000000149011612,0.0,0.021536145359277725,0.01837349496781826,0.02752976305782795
10000,2,0.0,1.4062597751617432,-0.20955999195575714,-0.26929187774658203,0.11946376413106918,-0.0009258584468625486,0.0,0.023899998515844345,0.33889999985694885,0.01874999888241291,0.0,0.0,0.0,0.02439759112894535,0.020331325009465218,0.02693452499806881
15000,3,0.20000000298023224,1.4262945652008057,0.7290115356445312,-0.2810361087322235,2.0200953483581543,0.0020832051523029804,0.20000000298023224,0.028299998492002487,0.3152499794960022,0.02565000019967556,0.10000000149011612,0.0,0.10000000149011612,0.02575301192700863,0.02484939806163311,0.0342261902987957
20000,4,0.20000000298023224,1.4743839502334595,2.1952552795410156,0.4461783468723297,3.4981539249420166,0.0021808729507029057,0.20000000298023224,0.025999998673796654,0.2965500056743622,0.027300000190734863,0.0,0.20000000298023224,0.0,0.028012048453092575,0.026807229965925217,0.02321428619325161
25000,5,0.30000001192092896,1.4888567924499512,2.975886344909668,-0.2704584002494812,6.492689609527588,0.003800851060077548,0.30000001192092896,0.049300000071525574,0.28129997849464417,0.025100000202655792,0.20000000298023224,0.0,0.10000000149011612,0.04442771151661873,0.05090361461043358,0.05252976343035698
30000,6,0.4000000059604645,1.484162449836731,4.525521755218506,-0.10085175186395645,9.25274658203125,0.005568670574575663,0.4000000059604645,0.05404999852180481,0.2102999985218048,0.022949999198317528,0.10000000149011612,0.10000000149011612,0.20000000298023224,0.04924698919057846,0.05361445993185043,0.05922619253396988
35000,7,0.10000000149011612,1.4683626890182495,1.8670614957809448,0.17350231111049652,3.387118339538574,-0.0019174708286300302,0.10000000149011612,0.07880000025033951,0.14800000190734863,0.0210999995470047,0.0,0.0,0.10000000149011612,0.07274096459150314,0.085391566157341,0.07827381044626236
40000,8,0.20000000298023224,1.4191758632659912,3.3218071460723877,-0.1895848661661148,7.022784233093262,0.0006069681257940829,0.20000000298023224,0.10839999467134476,0.12114999443292618,0.019099999219179153,0.20000000298023224,0.0,0.0,0.1013554260134697,0.11566264927387238,0.10818453133106232
45000,9,0.20000000298023224,1.4175052642822266,3.263371706008911,0.10682363063097,6.313096046447754,0.000158376875333488,0.20000000298023224,0.13079999387264252,0.11544999480247498,0.010249999351799488,0.0,0.10000000149011612,0.10000000149011612,0.12710843980312347,0.12921686470508575,0.13601191341876984
50000,10,0.4000000059604645,1.3469899892807007,8.028581619262695,-0.019904671236872673,16.096973419189453,0.006692621391266584,0.4000000059604645,0.1687999963760376,0.11005000025033951,0.01334999967366457,0.10000000149011612,0.20000000298023224,0.10000000149011612,0.16430723667144775,0.1668674796819687,0.17514881491661072
