environment_steps,updates,episode_returns_mean,entropy_mean,loss_mean,actor_loss_mean,value_loss_mean,reward_std_mean,deliveries_mean,block_rate_mean,idle_rate_mean,pickup_rate_mean,deliveries_early_mean,deliveries_mid_mean,deliveries_late_mean,block_early_mean,block_mid_mean,block_late_mean
5000,1,0.0,1.4152250289916992,-0.25283339619636536,-0.45218807458877563,0.39870935678482056,0.0,0.0,0.03294999897480011,0.0705999955534935,0.01484999991953373,0.0,0.0,0.0,0.03283132612705231,0.034036144614219666,0.0319940485060215
10000,2,0.20000000298023224,1.4104304313659668,1.2352038621902466,0.2721557915210724,1.9260960817337036,0.0020162176806479692,0.20000000298023224,0.030649999156594276,0.060499999672174454,0.01464999932795763,0.10000000149011612,0.0,0.10000000149011612,0.028765060007572174,0.033433735370635986,0.0297619067132473
15000,3,0.0,1.4416863918304443,0.25744783878326416,0.060084495693445206,0.3947266936302185,-0.001421071938239038,0.0,0.043299999088048935,0.07180000096559525,0.01640000008046627,0.0,0.0,0.0,0.04487951844930649,0.04472891613841057,0.04032738134264946
20000,4,0.30000001192092896,1.4355510473251343,2.5066699981689453,-0.260347843170166,5.534035682678223,0.004397483542561531,0.30000001192092896,0.04755000025033951,0.060999996960163116,0.01464999932795763,0.0,0.30000001192092896,0.0,0.04743976145982742,0.04231927916407585,0.0528273843228817
25000,5,0.20000000298023224,1.4665454626083374,2.6128532886505127,0.24759164452552795,4.730523109436035,0.001642130664549768,0.20000000298023224,0.06404999643564224,0.08049999922513962,0.013650000095367432,0.0,0.10000000149011612,0.10000000149011612,0.04894578456878662,0.06957831233739853,0.07351190596818924
30000,6,0.20000000298023224,1.479074478149414,2.268017053604126,-0.09999222308397293,4.736018657684326,0.0012841144343838096,0.20000000298023224,0.07679999619722366,0.09264999628067017,0.016850000247359276,0.0,0.0,0.20000000298023224,0.06837349385023117,0.08253011852502823,0.07946428656578064
35000,7,0.20000000298023224,1.450899600982666,2.706291675567627,-0.02195052243769169,5.456484317779541,0.001236972981132567,0.20000000298023224,0.08374999463558197,0.0872499942779541,0.015549999661743641,0.0,0.0,0.20000000298023224,0.0731927752494812,0.09096385538578033,0.0870535746216774
40000,8,0.4000000059604645,1.3953490257263184,7.560844898223877,0.1167202964425087,14.888249397277832,0.00752154691144824,0.4000000059604645,0.12139999866485596,0.09224999696016312,0.010350000113248825,0.0,0.30000001192092896,0.10000000149011612,0.1075301244854927,0.12861445546150208,0.127976194024086
45000,9,0.5,1.3452727794647217,8.892106056213379,-0.039717115461826324,17.863645553588867,0.008714253082871437,0.5,0.1360500007867813,0.07774999737739563,0.012199999764561653,0.0,0.4000000059604645,0.10000000149011612,0.1326807290315628,0.13659638166427612,0.13883928954601288
50000,10,0.4000000059604645,1.3019356727600098,7.091734886169434,-0.07903400808572769,14.341537475585938,0.004994201008230448,0.4000000059604645,0.16579999029636383,0.07724999636411667,0.009449999779462814,0.10000000149011612,0.10000000149011612,0.20000000298023224,0.13162650167942047,0.16731928288936615,0.19806548953056335
55000,11,0.30000001192092896,1.254716157913208,5.325634956359863,0.015423540957272053,10.62042236328125,0.0013246327871456742,0.30000001192092896,0.21844999492168427,0.07294999808073044,0.009549999609589577,0.10000000149011612,0.0,0.20000000298023224,0.19066265225410461,0.21370482444763184,0.25059524178504944
60000,12,0.4000000059604645,1.3032058477401733,10.055228233337402,-0.020183835178613663,20.15082359313965,0.0063599091954529285,0.4000000059604645,0.19859999418258667,0.07779999822378159,0.010400000028312206,0.0,0.20000000298023224,0.20000000298023224,0.17213855683803558,0.22831325232982635,0.19538691639900208
