environment_steps,updates,mean_episode_returns,entropy,loss,actor_loss,value_loss,reward_std_mean,deliveries,block_rate,idle_rate,pickup_rate,deliveries_early,deliveries_mid,deliveries_late,block_early,block_mid,block_late
4000,1,0.0,,nan,,,,0.0,,,,,,,,,
8000,2,0.0,,nan,,,,0.0,,,,,,,,,
12000,3,0.0,,nan,,,,0.0,,,,,,,,,
16000,4,0.0,,0.8572487831115723,,,,0.0,,,,,,,,,
20000,5,0.0,,0.18159185349941254,,,,0.0,,,,,,,,,
24000,6,0.0,,0.0903756320476532,,,,0.0,,,,,,,,,
28000,7,0.0,,0.0589272566139698,,,,0.0,,,,,,,,,
32000,8,0.125,,5.242190361022949,,,,0.125,,,,,,,,,
36000,9,0.0,,2.3408284187316895,,,,0.0,,,,,,,,,
40000,10,0.0,,3.9374585151672363,,,,0.0,,,,,,,,,
44000,11,0.0,,6.596323013305664,,,,0.0,,,,,,,,,
48000,12,0.0,,2.2621209621429443,,,,0.0,,,,,,,,,
52000,13,0.0,,1.2575739622116089,,,,0.0,,,,,,,,,
56000,14,0.0,,1.6310721635818481,,,,0.0,,,,,,,,,
60000,15,0.0,,1.8258843421936035,,,,0.0,,,,,,,,,
64000,16,0.0,,0.6849807500839233,,,,0.0,,,,,,,,,
68000,17,0.0,,0.8181540369987488,,,,0.0,,,,,,,,,
72000,18,0.0,,2.0705952644348145,,,,0.0,,,,,,,,,
76000,19,0.0,,0.011621417477726936,,,,0.0,,,,,,,,,
80000,20,0.0,,0.7916104793548584,,,,0.0,,,,,,,,,
84000,21,0.0,,0.7616081237792969,,,,0.0,,,,,,,,,
88000,22,0.0,,0.7307863831520081,,,,0.0,,,,,,,,,
92000,23,0.0,,1.7748708724975586,,,,0.0,,,,,,,,,
96000,24,0.0,,0.5027828216552734,,,,0.0,,,,,,,,,
100000,25,0.0,,1.5612058639526367,,,,0.0,,,,,,,,,
104000,26,0.0,,0.886805534362793,,,,0.0,,,,,,,,,
108000,27,0.0,,0.5259384512901306,,,,0.0,,,,,,,,,
112000,28,0.0,,0.8087437152862549,,,,0.0,,,,,,,,,
116000,29,0.0,,0.011828294023871422,,,,0.0,,,,,,,,,
120000,30,0.0,,0.7696000933647156,,,,0.0,,,,,,,,,
124000,31,0.0,,0.01086377538740635,,,,0.0,,,,,,,,,
128000,32,0.0,,1.5283219814300537,,,,0.0,,,,,,,,,
132000,33,0.0,,1.0984832048416138,,,,0.0,,,,,,,,,
136000,34,0.0,,0.8404043912887573,,,,0.0,,,,,,,,,
140000,35,0.0,,0.008120808750391006,,,,0.0,,,,,,,,,
144000,36,0.0,,0.007268235087394714,,,,0.0,,,,,,,,,
148000,37,0.0,,3.041929244995117,,,,0.0,,,,,,,,,
152000,38,0.0,,0.27424973249435425,,,,0.0,,,,,,,,,
156000,39,0.0,,0.5695489048957825,,,,0.0,,,,,,,,,
160000,40,0.0,,0.005919588729739189,,,,0.0,,,,,,,,,
164000,41,0.0,,0.005502576939761639,,,,0.0,,,,,,,,,
168000,42,0.0,,1.2932496070861816,,,,0.0,,,,,,,,,
172000,43,0.125,,0.7902553677558899,,,,0.125,,,,,,,,,
176000,44,0.0,,0.8912841081619263,,,,0.0,,,,,,,,,
180000,45,0.0,,5.498647689819336,,,,0.0,,,,,,,,,
184000,46,0.0,,3.050961971282959,,,,0.0,,,,,,,,,
188000,47,0.0,,1.2461785078048706,,,,0.0,,,,,,,,,
192000,48,0.0,,0.7407402992248535,,,,0.0,,,,,,,,,
196000,49,0.0,,0.2899978458881378,,,,0.0,,,,,,,,,
200000,50,0.0,,1.915166974067688,,,,0.0,,,,,,,,,
204000,51,0.0,,0.9745224118232727,,,,0.0,,,,,,,,,
208000,52,0.0,,1.6395817995071411,,,,0.0,,,,,,,,,
212000,53,0.0,,0.8235182762145996,,,,0.0,,,,,,,,,
216000,54,0.0,,1.9682235717773438,,,,0.0,,,,,,,,,
220000,55,0.0,,0.25071942806243896,,,,0.0,,,,,,,,,
224000,56,0.0,,0.2832009792327881,,,,0.0,,,,,,,,,
228000,57,0.0,,0.00418514758348465,,,,0.0,,,,,,,,,
232000,58,0.0,,2.097623825073242,,,,0.0,,,,,,,,,
236000,59,0.0,,0.004465068690478802,,,,0.0,,,,,,,,,
240000,60,0.0,,0.5461856722831726,,,,0.0,,,,,,,,,
244000,61,0.0,,2.84429931640625,,,,0.0,,,,,,,,,
248000,62,0.0,,0.24762752652168274,,,,0.0,,,,,,,,,
252000,63,0.0,,0.9993411898612976,,,,0.0,,,,,,,,,
256000,64,0.0,,0.003755326848477125,,,,0.0,,,,,,,,,
260000,65,0.0,,1.088210105895996,,,,0.0,,,,,,,,,
264000,66,0.0,,1.522590160369873,,,,0.0,,,,,,,,,
268000,67,0.0,,0.0037104692310094833,,,,0.0,,,,,,,,,
272000,68,0.0,,0.0032379990443587303,,,,0.0,,,,,,,,,
276000,69,0.0,,0.0031110462732613087,,,,0.0,,,,,,,,,
280000,70,0.0,,0.5681755542755127,,,,0.0,,,,,,,,,
284000,71,0.0,,2.077181816101074,,,,0.0,,,,,,,,,
288000,72,0.0,,0.275873601436615,,,,0.0,,,,,,,,,
292000,73,0.0,,0.0032206010073423386,,,,0.0,,,,,,,,,
296000,74,0.0,,0.002890919568017125,,,,0.0,,,,,,,,,
300000,75,0.0,,0.002731925807893276,,,,0.0,,,,,,,,,
304000,76,0.0,,0.0027107582427561283,,,,0.0,,,,,,,,,
308000,77,0.0,,0.002565247006714344,,,,0.0,,,,,,,,,
312000,78,0.0,,0.9101989269256592,,,,0.0,,,,,,,,,
316000,79,0.0,,0.993209183216095,,,,0.0,,,,,,,,,
320000,80,0.0,,0.0027748795691877604,,,,0.0,,,,,,,,,
324000,81,0.0,,0.0024700332432985306,,,,0.0,,,,,,,,,
328000,82,0.0,,1.1652745008468628,,,,0.0,,,,,,,,,
332000,83,0.0,,1.491878867149353,,,,0.0,,,,,,,,,
