environment_steps,updates,mean_episode_returns,entropy,loss,actor_loss,value_loss,reward_std_mean,deliveries,block_rate,idle_rate,pickup_rate,deliveries_early,deliveries_mid,deliveries_late,block_early,block_mid,block_late
5000,1,0.0,1.199517846107483,-0.1659736931324005,-0.21475301682949066,0.0975586399435997,0.0,0.0,0.0050999997183680534,0.13120000064373016,0.03610000014305115,0.0,0.0,0.0,0.006626506336033344,0.004819277208298445,0.0038690478540956974
10000,2,0.0,1.2764467000961304,2.242511510848999,1.9069491624832153,0.6711245179176331,0.0,0.0,0.0038499999791383743,0.15489999949932098,0.05174999684095383,0.0,0.0,0.0,0.0040662651881575584,0.0028614457696676254,0.004613095428794622
15000,3,0.0,1.310827374458313,0.5318925976753235,0.4675159454345703,0.12875327467918396,0.0,0.0,0.005249999929219484,0.1744999885559082,0.04084999859333038,0.0,0.0,0.0,0.004367469809949398,0.004518072586506605,0.0068452381528913975
20000,4,0.0,1.334786057472229,-0.9492217898368835,-1.0700325965881348,0.24162162840366364,0.0,0.0,0.008700000122189522,0.204599991440773,0.044499997049570084,0.0,0.0,0.0,0.011445783078670502,0.007379518356174231,0.00729166716337204
25000,5,0.0,1.3440476655960083,-1.1824314594268799,-1.3559014797210693,0.34693992137908936,0.0,0.0,0.008150000125169754,0.22029998898506165,0.05635000020265579,0.0,0.0,0.0,0.010240963660180569,0.00753012066707015,0.0066964286379516125
30000,6,0.0,1.3393813371658325,-0.8658430576324463,-0.9731386303901672,0.2145911604166031,0.0,0.0,0.007349999621510506,0.20634999871253967,0.05274999886751175,0.0,0.0,0.0,0.007981928065419197,0.0061746989376842976,0.00788690522313118
35000,7,0.0,1.2999166250228882,-0.36888587474823,-0.42985886335372925,0.12194599211215973,0.0,0.0,0.010849999263882637,0.20829999446868896,0.06435000151395798,0.0,0.0,0.0,0.00903614517301321,0.013102410361170769,0.010416666977107525
40000,8,0.0,1.2830255031585693,0.18195737898349762,0.12973356246948242,0.1044476255774498,0.0,0.0,0.00989999994635582,0.19139999151229858,0.06659999489784241,0.0,0.0,0.0,0.005873494315892458,0.011445783078670502,0.01235119067132473
45000,9,0.0,1.259775996208191,0.6006613373756409,0.5259270668029785,0.1494685858488083,0.0,0.0,0.008049999363720417,0.19734999537467957,0.06809999793767929,0.0,0.0,0.0,0.007831325754523277,0.005421686917543411,0.01086309552192688
50000,10,0.10000000149011612,1.2289475202560425,3.3591556549072266,0.9538582563400269,4.8105950355529785,0.0033116298727691174,0.10000000149011612,0.008049999363720417,0.18314999341964722,0.05415000021457672,0.0,0.10000000149011612,0.0,0.00918674748390913,0.0072289155796170235,0.007738095708191395
55000,11,0.0,1.2559245824813843,0.800532341003418,0.7121663093566895,0.1767321228981018,-0.0003450875810813159,0.0,0.01145000010728836,0.19134999811649323,0.058149997144937515,0.0,0.0,0.0,0.011295180767774582,0.010391566902399063,0.0126488097012043
60000,12,0.0,1.2533634901046753,0.2794877290725708,0.22342438995838165,0.11212670803070068,-0.0003297255898360163,0.0,0.012249999679625034,0.1834999918937683,0.06305000185966492,0.0,0.0,0.0,0.010090361349284649,0.01551204826682806,0.01116071455180645
65000,13,0.10000000149011612,1.2764217853546143,3.368260383605957,0.2247651070356369,6.286990642547607,0.0036243018694221973,0.10000000149011612,0.011949999257922173,0.16359999775886536,0.07005000114440918,0.0,0.0,0.10000000149011612,0.00963855441659689,0.010240963660180569,0.01592261902987957
70000,14,0.0,1.3086029291152954,-0.34483951330184937,-0.4130203127861023,0.13636158406734467,-0.0006086140056140721,0.0,0.018400000408291817,0.16979999840259552,0.05824999883770943,0.0,0.0,0.0,0.01957831345498562,0.0186746995896101,0.01696428656578064
