environment_steps,updates,mean_episode_returns,entropy,loss,actor_loss,value_loss,reward_std_mean,deliveries,block_rate,idle_rate,pickup_rate,deliveries_early,deliveries_mid,deliveries_late,block_early,block_mid,block_late
5000,1,0.0,1.1899096965789795,0.5629649758338928,0.4990285038948059,0.1278729885816574,0.0,0.0,0.0050999997183680534,0.13120000064373016,0.03610000014305115,0.0,0.0,0.0,0.006626506336033344,0.004819277208298445,0.0038690478540956974
10000,2,0.0,1.2889683246612549,-0.12587274610996246,-0.1592329740524292,0.06672045588493347,0.0,0.0,0.0050999997183680534,0.1335500031709671,0.0369499996304512,0.0,0.0,0.0,0.006475903559476137,0.003463855478912592,0.0053571430034935474
15000,3,0.0,1.2821370363235474,-0.20289666950702667,-0.2395068109035492,0.07322028279304504,0.0,0.0,0.0064999996684491634,0.1469999998807907,0.044999998062849045,0.0,0.0,0.0,0.007078313268721104,0.005722891539335251,0.0066964286379516125
20000,4,0.0,1.3010599613189697,0.4175279140472412,0.37250858545303345,0.09003865718841553,0.0,0.0,0.00559999980032444,0.17099998891353607,0.03894999995827675,0.0,0.0,0.0,0.006927710957825184,0.004819277208298445,0.005059523973613977
25000,5,0.0,1.342630386352539,-0.17877240478992462,-0.21059702336788177,0.0636492446064949,0.0,0.0,0.006599999964237213,0.20044998824596405,0.0328500010073185,0.0,0.0,0.0,0.005572289228439331,0.005873494315892458,0.008333333767950535
30000,6,0.0,1.379241943359375,-0.02840791642665863,-0.05766380578279495,0.058511778712272644,0.0,0.0,0.008549999445676804,0.2142999917268753,0.022549999877810478,0.0,0.0,0.0,0.00963855441659689,0.007981928065419197,0.008035714738070965
35000,7,0.0,1.4181437492370605,0.18821515142917633,0.15746618807315826,0.06149793416261673,0.0,0.0,0.008349999785423279,0.2659499943256378,0.02459999918937683,0.0,0.0,0.0,0.008132530376315117,0.008734939619898796,0.00818452425301075
40000,8,0.0,1.4302476644515991,-0.11370033025741577,-0.14306044578552246,0.058720238506793976,0.0,0.0,0.008999999612569809,0.2698499858379364,0.02694999985396862,0.0,0.0,0.0,0.006475903559476137,0.010993976145982742,0.009523809887468815
45000,9,0.0,1.4208786487579346,0.059300534427165985,0.029123231768608093,0.060354601591825485,0.0,0.0,0.012399999424815178,0.2272000014781952,0.02579999901354313,0.0,0.0,0.0,0.011596385389566422,0.012048193253576756,0.01354166679084301
50000,10,0.0,1.4622910022735596,0.04791656509041786,0.020273303613066673,0.05528652295470238,0.0,0.0,0.01529999915510416,0.2680000066757202,0.021199999377131462,0.0,0.0,0.0,0.014307228848338127,0.015813253819942474,0.01577381044626236
