E0612 19:16:11.398704    2695 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0612 19:16:11.415257    2653 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=mappo (centralised_critic=True, use_ppo=True, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=10000  (steps/update=5000)  seed=2
run-dir=runs/mappo_evo_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 0] return 0.00  deliveries 0  -> runs/mappo_evo_tiny-4ag_seed2/replays/replay_upd000000_s0.npz
  upd   59 | return    0.300 | deliv   0.30 | blocked 54.6% | idle  0.3% | ent 0.516
  upd   60 | return    0.300 | deliv   0.30 | blocked 51.8% | idle  0.3% | ent 0.528
  upd   61 | return    0.000 | deliv   0.00 | blocked 53.0% | idle  0.3% | ent 0.510
  upd   62 | return    0.100 | deliv   0.10 | blocked 53.4% | idle  0.3% | ent 0.503
  upd   63 | return    0.100 | deliv   0.10 | blocked 52.0% | idle  0.3% | ent 0.505
  upd   64 | return    0.000 | deliv   0.00 | blocked 59.7% | idle  0.2% | ent 0.439
  upd   65 | return    0.300 | deliv   0.30 | blocked 60.1% | idle  0.3% | ent 0.511
  upd   66 | return    0.100 | deliv   0.10 | blocked 49.4% | idle  0.4% | ent 0.595
  upd   67 | return    0.300 | deliv   0.30 | blocked 45.9% | idle  0.3% | ent 0.615
  upd   68 | return    0.200 | deliv   0.20 | blocked 40.5% | idle  0.4% | ent 0.616
  upd   69 | return    0.100 | deliv   0.10 | blocked 44.9% | idle  0.4% | ent 0.607
  upd   70 | return    0.200 | deliv   0.20 | blocked 40.3% | idle  0.4% | ent 0.614
  upd   71 | return    0.000 | deliv   0.00 | blocked 38.3% | idle  0.6% | ent 0.610
  upd   72 | return    0.000 | deliv   0.00 | blocked 36.3% | idle  0.4% | ent 0.615
  upd   73 | return    0.100 | deliv   0.10 | blocked 42.2% | idle  0.5% | ent 0.604
  upd   74 | return    0.300 | deliv   0.30 | blocked 42.4% | idle  0.3% | ent 0.657
  upd   75 | return    0.100 | deliv   0.10 | blocked 32.1% | idle  0.5% | ent 0.679
  upd   76 | return    0.500 | deliv   0.50 | blocked 35.8% | idle  0.5% | ent 0.615
  upd   77 | return    0.200 | deliv   0.20 | blocked 40.8% | idle  0.6% | ent 0.647
  upd   78 | return    0.000 | deliv   0.00 | blocked 43.3% | idle  0.5% | ent 0.586
  upd   79 | return    0.200 | deliv   0.20 | blocked 41.9% | idle  0.5% | ent 0.629
  upd   80 | return    0.400 | deliv   0.40 | blocked 37.0% | idle  0.5% | ent 0.665
  upd   81 | return    0.300 | deliv   0.30 | blocked 32.9% | idle  0.4% | ent 0.644
  upd   82 | return    0.300 | deliv   0.30 | blocked 42.8% | idle  0.3% | ent 0.626
  upd   83 | return    0.500 | deliv   0.50 | blocked 34.8% | idle  0.5% | ent 0.661
  upd   84 | return    0.300 | deliv   0.30 | blocked 34.6% | idle  0.5% | ent 0.611
  upd   85 | return    0.300 | deliv   0.30 | blocked 46.9% | idle  0.3% | ent 0.626
  upd   86 | return    0.000 | deliv   0.00 | blocked 38.0% | idle  0.3% | ent 0.629
  upd   87 | return    0.100 | deliv   0.10 | blocked 44.2% | idle  0.4% | ent 0.587
  upd   88 | return    0.100 | deliv   0.10 | blocked 46.7% | idle  0.3% | ent 0.544
  upd   89 | return    0.100 | deliv   0.10 | blocked 55.6% | idle  0.2% | ent 0.567
  upd   90 | return    0.100 | deliv   0.10 | blocked 44.2% | idle  0.3% | ent 0.653
  upd   91 | return    0.000 | deliv   0.00 | blocked 42.9% | idle  0.4% | ent 0.642
  upd   92 | return    0.100 | deliv   0.10 | blocked 42.5% | idle  0.4% | ent 0.642
  upd   93 | return    0.200 | deliv   0.20 | blocked 46.6% | idle  0.4% | ent 0.696
  upd   94 | return    0.100 | deliv   0.10 | blocked 36.1% | idle  0.5% | ent 0.745
  upd   95 | return    0.400 | deliv   0.40 | blocked 36.3% | idle  0.5% | ent 0.786
  upd   96 | return    0.300 | deliv   0.30 | blocked 32.3% | idle  0.5% | ent 0.709
  upd   97 | return    0.400 | deliv   0.40 | blocked 42.0% | idle  0.4% | ent 0.661
  upd   98 | return    0.100 | deliv   0.10 | blocked 51.5% | idle  0.3% | ent 0.607
  upd   99 | return    0.000 | deliv   0.00 | blocked 51.4% | idle  0.3% | ent 0.577
  [replay @ update 100] return 0.00  deliveries 0  -> runs/mappo_evo_tiny-4ag_seed2/replays/replay_upd000100_s0.npz
  upd  100 | return    0.100 | deliv   0.10 | blocked 58.6% | idle  0.2% | ent 0.513
  upd  101 | return    0.000 | deliv   0.00 | blocked 60.3% | idle  0.3% | ent 0.475
  upd  102 | return    0.300 | deliv   0.30 | blocked 62.6% | idle  0.2% | ent 0.482
  upd  103 | return    0.100 | deliv   0.10 | blocked 64.7% | idle  0.3% | ent 0.484
  upd  104 | return    0.000 | deliv   0.00 | blocked 58.1% | idle  0.2% | ent 0.526
