E0614 08:49:33.697124    2990 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0614 08:49:33.707787    2948 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=ia2c (centralised_critic=False, use_ppo=False, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=1
run-dir=runs/ia2c_tiny-4ag_seed1  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  upd    0 | return    0.000 | deliv   0.00 | blocked  0.5% | idle 13.1% | ent 1.200
  upd    1 | return    0.000 | deliv   0.00 | blocked  0.6% | idle 13.4% | ent 1.207
  upd    2 | return    0.000 | deliv   0.00 | blocked  0.6% | idle 13.9% | ent 1.228
  upd    3 | return    0.000 | deliv   0.00 | blocked  0.8% | idle 16.2% | ent 1.281
  upd    4 | return    0.000 | deliv   0.00 | blocked  0.7% | idle 16.9% | ent 1.299
  upd    5 | return    0.000 | deliv   0.00 | blocked  0.7% | idle 17.5% | ent 1.336
  upd    6 | return    0.000 | deliv   0.00 | blocked  0.8% | idle 19.8% | ent 1.336
  upd    7 | return    0.000 | deliv   0.00 | blocked  0.7% | idle 18.3% | ent 1.321
  upd    8 | return    0.000 | deliv   0.00 | blocked  0.6% | idle 18.9% | ent 1.319
  upd    9 | return    0.000 | deliv   0.00 | blocked  0.7% | idle 18.7% | ent 1.333
  upd   10 | return    0.100 | deliv   0.10 | blocked  0.6% | idle 19.8% | ent 1.308
  upd   11 | return    0.000 | deliv   0.00 | blocked  0.6% | idle 20.8% | ent 1.354
  upd   12 | return    0.000 | deliv   0.00 | blocked  0.6% | idle 21.5% | ent 1.326
  upd   13 | return    0.000 | deliv   0.00 | blocked  0.8% | idle 23.5% | ent 1.361
  upd   14 | return    0.000 | deliv   0.00 | blocked  0.9% | idle 25.5% | ent 1.382
  upd   15 | return    0.000 | deliv   0.00 | blocked  1.0% | idle 25.5% | ent 1.408
  upd   16 | return    0.000 | deliv   0.00 | blocked  1.4% | idle 27.0% | ent 1.426
  upd   17 | return    0.000 | deliv   0.00 | blocked  1.0% | idle 27.8% | ent 1.433
  upd   18 | return    0.000 | deliv   0.00 | blocked  1.5% | idle 27.8% | ent 1.446
  upd   19 | return    0.000 | deliv   0.00 | blocked  1.3% | idle 28.2% | ent 1.466
  upd   20 | return    0.000 | deliv   0.00 | blocked  1.6% | idle 28.3% | ent 1.478
  upd   21 | return    0.000 | deliv   0.00 | blocked  2.0% | idle 29.5% | ent 1.487
  upd   22 | return    0.000 | deliv   0.00 | blocked  2.5% | idle 29.3% | ent 1.503
  upd   23 | return    0.000 | deliv   0.00 | blocked  2.3% | idle 28.4% | ent 1.519
  upd   24 | return    0.000 | deliv   0.00 | blocked  3.5% | idle 27.0% | ent 1.527
  upd   25 | return    0.000 | deliv   0.00 | blocked  3.4% | idle 26.0% | ent 1.531
  upd   26 | return    0.100 | deliv   0.10 | blocked  4.2% | idle 24.4% | ent 1.533
  upd   27 | return    0.100 | deliv   0.10 | blocked  4.9% | idle 24.9% | ent 1.538
  upd   28 | return    0.000 | deliv   0.00 | blocked  7.0% | idle 21.8% | ent 1.543
