E0603 10:12:55.239575    1230 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 10:12:55.252190    1187 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=seac (per-agent A2C, seac_coef=0.0, use_rnn=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=1000  (steps/update=5000)  seed=2
run-dir=runs/seac_fc_lam0_seed2  chunk=100 updates/save
  upd   62 | return    0.000 | deliv   0.00 | blocked 44.1% | idle  5.2% | ent 0.772
  upd   63 | return    0.200 | deliv   0.20 | blocked 46.8% | idle  4.7% | ent 0.710
  upd   64 | return    0.200 | deliv   0.20 | blocked 47.0% | idle  4.6% | ent 0.725
  upd   65 | return    0.400 | deliv   0.40 | blocked 48.5% | idle  4.5% | ent 0.698
  upd   66 | return    0.100 | deliv   0.10 | blocked 46.2% | idle  4.7% | ent 0.724
  upd   67 | return    0.100 | deliv   0.10 | blocked 46.2% | idle  4.2% | ent 0.701
  upd   68 | return    0.200 | deliv   0.20 | blocked 46.2% | idle  4.4% | ent 0.711
  upd   69 | return    0.300 | deliv   0.30 | blocked 48.6% | idle  4.4% | ent 0.692
  upd   70 | return    0.400 | deliv   0.40 | blocked 47.9% | idle  4.3% | ent 0.684
  upd   71 | return    0.300 | deliv   0.30 | blocked 44.7% | idle  4.6% | ent 0.714
  upd   72 | return    0.100 | deliv   0.10 | blocked 46.4% | idle  4.3% | ent 0.703
  upd   73 | return    0.200 | deliv   0.20 | blocked 46.3% | idle  4.6% | ent 0.709
  upd   74 | return    0.400 | deliv   0.40 | blocked 44.1% | idle  4.5% | ent 0.729
  upd   75 | return    0.100 | deliv   0.10 | blocked 45.3% | idle  4.8% | ent 0.723
  upd   76 | return    0.100 | deliv   0.10 | blocked 46.0% | idle  4.5% | ent 0.710
  upd   77 | return    0.200 | deliv   0.20 | blocked 46.0% | idle  4.6% | ent 0.713
  upd   78 | return    0.300 | deliv   0.30 | blocked 45.1% | idle  4.8% | ent 0.726
  upd   79 | return    0.100 | deliv   0.10 | blocked 44.8% | idle  4.5% | ent 0.726
  upd   80 | return    0.200 | deliv   0.20 | blocked 44.7% | idle  4.9% | ent 0.731
  upd   81 | return    0.200 | deliv   0.20 | blocked 44.1% | idle  4.8% | ent 0.736
  upd   82 | return    0.200 | deliv   0.20 | blocked 43.5% | idle  5.2% | ent 0.751
  upd   83 | return    0.200 | deliv   0.20 | blocked 43.4% | idle  5.4% | ent 0.745
  upd   84 | return    0.300 | deliv   0.30 | blocked 42.1% | idle  5.4% | ent 0.758
  upd   85 | return    0.000 | deliv   0.00 | blocked 42.6% | idle  5.2% | ent 0.751
  upd   86 | return    0.000 | deliv   0.00 | blocked 41.3% | idle  4.8% | ent 0.747
  upd   87 | return    0.200 | deliv   0.20 | blocked 43.4% | idle  4.7% | ent 0.738
  upd   88 | return    0.000 | deliv   0.00 | blocked 42.6% | idle  4.6% | ent 0.749
  upd   89 | return    0.300 | deliv   0.30 | blocked 44.0% | idle  4.6% | ent 0.728
  upd   90 | return    0.100 | deliv   0.10 | blocked 41.0% | idle  4.8% | ent 0.753
  upd   91 | return    0.300 | deliv   0.30 | blocked 42.7% | idle  4.8% | ent 0.753
  upd   92 | return    0.200 | deliv   0.20 | blocked 41.0% | idle  5.2% | ent 0.755
  upd   93 | return    0.300 | deliv   0.30 | blocked 40.9% | idle  5.3% | ent 0.769
  upd   94 | return    0.000 | deliv   0.00 | blocked 40.5% | idle  5.2% | ent 0.756
  upd   95 | return    0.100 | deliv   0.10 | blocked 41.7% | idle  5.4% | ent 0.744
  upd   96 | return    0.100 | deliv   0.10 | blocked 41.4% | idle  5.6% | ent 0.766
  upd   97 | return    0.100 | deliv   0.10 | blocked 41.7% | idle  5.1% | ent 0.747
  upd   98 | return    0.100 | deliv   0.10 | blocked 41.8% | idle  5.4% | ent 0.738
  upd   99 | return    0.300 | deliv   0.30 | blocked 42.2% | idle  5.2% | ent 0.741
  upd  100 | return    0.300 | deliv   0.30 | blocked 40.6% | idle  5.8% | ent 0.765
  upd  101 | return    0.100 | deliv   0.10 | blocked 39.7% | idle  5.6% | ent 0.763
  upd  102 | return    0.000 | deliv   0.00 | blocked 38.9% | idle  5.7% | ent 0.783
  upd  103 | return    0.100 | deliv   0.10 | blocked 39.1% | idle  5.5% | ent 0.764
  upd  104 | return    0.200 | deliv   0.20 | blocked 37.8% | idle  5.7% | ent 0.780
