E0612 22:33:23.491862   13141 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0612 22:33:23.508828   13099 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=ippo (centralised_critic=False, use_ppo=True, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/ippo_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 0] return 0.00  deliveries 0  -> runs/ippo_tiny-4ag_seed2/replays/replay_upd000000_s0.npz
  upd   59 | return    0.000 | deliv   0.00 | blocked 84.6% | idle  0.3% | ent 0.366
  upd   60 | return    0.000 | deliv   0.00 | blocked 82.6% | idle  0.3% | ent 0.407
  upd   61 | return    0.000 | deliv   0.00 | blocked 83.1% | idle  0.4% | ent 0.387
  upd   62 | return    0.000 | deliv   0.00 | blocked 84.2% | idle  0.3% | ent 0.369
  upd   63 | return    0.100 | deliv   0.10 | blocked 83.8% | idle  0.3% | ent 0.356
  upd   64 | return    0.000 | deliv   0.00 | blocked 87.2% | idle  0.4% | ent 0.276
  upd   65 | return    0.000 | deliv   0.00 | blocked 88.7% | idle  0.2% | ent 0.274
  upd   66 | return    0.000 | deliv   0.00 | blocked 88.8% | idle  0.2% | ent 0.259
  upd   67 | return    0.000 | deliv   0.00 | blocked 88.1% | idle  0.2% | ent 0.286
  upd   68 | return    0.000 | deliv   0.00 | blocked 88.2% | idle  0.2% | ent 0.295
  upd   69 | return    0.000 | deliv   0.00 | blocked 87.6% | idle  0.2% | ent 0.320
  upd   70 | return    0.000 | deliv   0.00 | blocked 86.4% | idle  0.3% | ent 0.350
  upd   71 | return    0.000 | deliv   0.00 | blocked 84.2% | idle  0.3% | ent 0.392
  upd   72 | return    0.000 | deliv   0.00 | blocked 83.2% | idle  0.2% | ent 0.435
  upd   73 | return    0.000 | deliv   0.00 | blocked 81.1% | idle  0.4% | ent 0.462
  upd   74 | return    0.000 | deliv   0.00 | blocked 78.5% | idle  0.3% | ent 0.503
  upd   75 | return    0.000 | deliv   0.00 | blocked 76.5% | idle  0.3% | ent 0.527
  upd   76 | return    0.000 | deliv   0.00 | blocked 75.8% | idle  0.4% | ent 0.530
  upd   77 | return    0.100 | deliv   0.10 | blocked 76.6% | idle  0.3% | ent 0.540
  upd   78 | return    0.100 | deliv   0.10 | blocked 74.3% | idle  0.4% | ent 0.552
  upd   79 | return    0.000 | deliv   0.00 | blocked 74.2% | idle  0.4% | ent 0.551
  upd   80 | return    0.000 | deliv   0.00 | blocked 75.5% | idle  0.4% | ent 0.546
  upd   81 | return    0.000 | deliv   0.00 | blocked 75.9% | idle  0.3% | ent 0.509
  upd   82 | return    0.000 | deliv   0.00 | blocked 79.1% | idle  0.3% | ent 0.502
  upd   83 | return    0.000 | deliv   0.00 | blocked 75.8% | idle  0.4% | ent 0.564
  upd   84 | return    0.000 | deliv   0.00 | blocked 72.6% | idle  0.3% | ent 0.569
  upd   85 | return    0.000 | deliv   0.00 | blocked 74.2% | idle  0.4% | ent 0.540
  upd   86 | return    0.000 | deliv   0.00 | blocked 76.7% | idle  0.4% | ent 0.525
  upd   87 | return    0.000 | deliv   0.00 | blocked 77.0% | idle  0.4% | ent 0.480
  upd   88 | return    0.000 | deliv   0.00 | blocked 81.4% | idle  0.3% | ent 0.421
  upd   89 | return    0.000 | deliv   0.00 | blocked 82.2% | idle  0.4% | ent 0.446
  upd   90 | return    0.000 | deliv   0.00 | blocked 79.0% | idle  0.4% | ent 0.499
  upd   91 | return    0.000 | deliv   0.00 | blocked 79.5% | idle  0.5% | ent 0.479
