E0614 08:40:09.906223    1929 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0614 08:40:09.932381    1887 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=ia2c (centralised_critic=False, use_ppo=False, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=0
run-dir=runs/ia2c_tiny-4ag_seed0  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  upd   61 | return    0.200 | deliv   0.20 | blocked 10.4% | idle 13.7% | ent 1.343
  upd   62 | return    0.100 | deliv   0.10 | blocked  9.8% | idle 13.8% | ent 1.337
  upd   63 | return    0.000 | deliv   0.00 | blocked  8.9% | idle 14.1% | ent 1.354
  upd   64 | return    0.200 | deliv   0.20 | blocked  9.2% | idle 15.0% | ent 1.351
  upd   65 | return    0.100 | deliv   0.10 | blocked  8.8% | idle 15.0% | ent 1.359
  upd   66 | return    0.100 | deliv   0.10 | blocked 10.1% | idle 13.9% | ent 1.348
  upd   67 | return    0.100 | deliv   0.10 | blocked  9.9% | idle 14.2% | ent 1.331
  upd   68 | return    0.000 | deliv   0.00 | blocked  9.3% | idle 14.2% | ent 1.347
  upd   69 | return    0.000 | deliv   0.00 | blocked 10.7% | idle 14.7% | ent 1.335
  upd   70 | return    0.100 | deliv   0.10 | blocked  9.4% | idle 14.7% | ent 1.345
  upd   71 | return    0.000 | deliv   0.00 | blocked  9.6% | idle 15.0% | ent 1.364
  upd   72 | return    0.100 | deliv   0.10 | blocked 11.3% | idle 14.0% | ent 1.337
  upd   73 | return    0.200 | deliv   0.20 | blocked 11.2% | idle 14.0% | ent 1.333
  upd   74 | return    0.000 | deliv   0.00 | blocked 12.2% | idle 14.0% | ent 1.312
  upd   75 | return    0.100 | deliv   0.10 | blocked 11.4% | idle 14.0% | ent 1.320
  upd   76 | return    0.000 | deliv   0.00 | blocked 11.2% | idle 14.6% | ent 1.329
  upd   77 | return    0.100 | deliv   0.10 | blocked 11.2% | idle 14.8% | ent 1.316
  upd   78 | return    0.100 | deliv   0.10 | blocked 11.9% | idle 14.3% | ent 1.319
  upd   79 | return    0.000 | deliv   0.00 | blocked 10.9% | idle 15.0% | ent 1.336
  upd   80 | return    0.000 | deliv   0.00 | blocked 11.9% | idle 14.9% | ent 1.322
  upd   81 | return    0.000 | deliv   0.00 | blocked 11.8% | idle 14.8% | ent 1.316
  upd   82 | return    0.200 | deliv   0.20 | blocked 13.4% | idle 15.8% | ent 1.309
  upd   83 | return    0.000 | deliv   0.00 | blocked 12.0% | idle 15.6% | ent 1.320
  upd   84 | return    0.000 | deliv   0.00 | blocked 13.1% | idle 15.6% | ent 1.302
  upd   85 | return    0.000 | deliv   0.00 | blocked 14.5% | idle 15.7% | ent 1.276
  upd   86 | return    0.000 | deliv   0.00 | blocked 15.6% | idle 15.9% | ent 1.295
  upd   87 | return    0.100 | deliv   0.10 | blocked 15.4% | idle 15.5% | ent 1.268
  upd   88 | return    0.000 | deliv   0.00 | blocked 16.7% | idle 15.5% | ent 1.244
  upd   89 | return    0.100 | deliv   0.10 | blocked 16.4% | idle 16.3% | ent 1.266
  upd   90 | return    0.000 | deliv   0.00 | blocked 16.2% | idle 16.5% | ent 1.269
  upd   91 | return    0.000 | deliv   0.00 | blocked 16.4% | idle 16.5% | ent 1.259
  upd   92 | return    0.000 | deliv   0.00 | blocked 14.6% | idle 18.0% | ent 1.269
  upd   93 | return    0.100 | deliv   0.10 | blocked 15.2% | idle 18.0% | ent 1.269
  upd   94 | return    0.000 | deliv   0.00 | blocked 16.7% | idle 17.7% | ent 1.266
  upd   95 | return    0.000 | deliv   0.00 | blocked 14.4% | idle 17.7% | ent 1.265
  upd   96 | return    0.000 | deliv   0.00 | blocked 13.0% | idle 18.9% | ent 1.286
  upd   97 | return    0.100 | deliv   0.10 | blocked 14.1% | idle 18.7% | ent 1.259
  upd   98 | return    0.000 | deliv   0.00 | blocked 13.5% | idle 18.5% | ent 1.261
