E0603 08:29:12.503865     437 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 08:29:12.514933     391 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=mappo (centralised_critic=True, use_ppo=True, use_rnn=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/mappo_fc_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  upd   61 | return    0.200 | deliv   0.20 | blocked 64.2% | idle  2.3% | ent 0.676
  upd   62 | return    0.100 | deliv   0.10 | blocked 63.6% | idle  2.2% | ent 0.634
  upd   63 | return    0.200 | deliv   0.20 | blocked 67.7% | idle  2.0% | ent 0.550
  upd   64 | return    0.100 | deliv   0.10 | blocked 69.1% | idle  1.5% | ent 0.520
  upd   65 | return    0.300 | deliv   0.30 | blocked 69.1% | idle  1.5% | ent 0.555
  upd   66 | return    0.200 | deliv   0.20 | blocked 66.2% | idle  1.4% | ent 0.551
  upd   67 | return    0.000 | deliv   0.00 | blocked 67.4% | idle  1.2% | ent 0.520
  upd   68 | return    0.000 | deliv   0.00 | blocked 67.1% | idle  1.4% | ent 0.499
  upd   69 | return    0.200 | deliv   0.20 | blocked 67.5% | idle  1.3% | ent 0.437
  upd   70 | return    0.000 | deliv   0.00 | blocked 72.9% | idle  1.0% | ent 0.370
  upd   71 | return    0.200 | deliv   0.20 | blocked 75.3% | idle  1.1% | ent 0.418
  upd   72 | return    0.100 | deliv   0.10 | blocked 71.6% | idle  0.9% | ent 0.462
  upd   73 | return    0.200 | deliv   0.20 | blocked 66.7% | idle  1.0% | ent 0.493
  upd   74 | return    0.000 | deliv   0.00 | blocked 65.2% | idle  0.9% | ent 0.506
  upd   75 | return    0.100 | deliv   0.10 | blocked 67.2% | idle  0.8% | ent 0.457
  upd   76 | return    0.200 | deliv   0.20 | blocked 65.8% | idle  0.8% | ent 0.464
  upd   77 | return    0.200 | deliv   0.20 | blocked 70.1% | idle  0.6% | ent 0.433
  upd   78 | return    0.000 | deliv   0.00 | blocked 70.9% | idle  0.8% | ent 0.434
  upd   79 | return    0.000 | deliv   0.00 | blocked 73.4% | idle  0.7% | ent 0.407
  upd   80 | return    0.200 | deliv   0.20 | blocked 76.7% | idle  0.7% | ent 0.383
  upd   81 | return    0.100 | deliv   0.10 | blocked 72.6% | idle  0.6% | ent 0.430
  upd   82 | return    0.100 | deliv   0.10 | blocked 77.3% | idle  0.6% | ent 0.357
  upd   83 | return    0.000 | deliv   0.00 | blocked 73.8% | idle  0.8% | ent 0.415
  upd   84 | return    0.000 | deliv   0.00 | blocked 76.2% | idle  0.8% | ent 0.405
  upd   85 | return    0.000 | deliv   0.00 | blocked 78.5% | idle  0.9% | ent 0.353
  upd   86 | return    0.000 | deliv   0.00 | blocked 80.1% | idle  0.8% | ent 0.349
  upd   87 | return    0.000 | deliv   0.00 | blocked 84.1% | idle  0.8% | ent 0.304
  upd   88 | return    0.000 | deliv   0.00 | blocked 78.2% | idle  0.8% | ent 0.379
  upd   89 | return    0.000 | deliv   0.00 | blocked 78.4% | idle  0.9% | ent 0.345
  upd   90 | return    0.000 | deliv   0.00 | blocked 81.0% | idle  0.7% | ent 0.357
  upd   91 | return    0.000 | deliv   0.00 | blocked 81.5% | idle  0.7% | ent 0.346
  upd   92 | return    0.000 | deliv   0.00 | blocked 79.9% | idle  1.0% | ent 0.367
  upd   93 | return    0.100 | deliv   0.10 | blocked 80.7% | idle  0.8% | ent 0.367
  upd   94 | return    0.200 | deliv   0.20 | blocked 77.7% | idle  0.9% | ent 0.377
  upd   95 | return    0.000 | deliv   0.00 | blocked 81.9% | idle  0.7% | ent 0.301
  upd   96 | return    0.000 | deliv   0.00 | blocked 74.8% | idle  0.8% | ent 0.352
  upd   97 | return    0.000 | deliv   0.00 | blocked 77.9% | idle  0.6% | ent 0.331
  upd   98 | return    0.000 | deliv   0.00 | blocked 81.7% | idle  0.5% | ent 0.301
  upd   99 | return    0.000 | deliv   0.00 | blocked 82.1% | idle  0.6% | ent 0.314
[commentary @ update 100]
  deliveries/episode ~0.2 ~   team return ~0.16 ~
  contention (forward-blocked) 54.1% ~   idle 2.9%
  barely any deliveries yet across the episode (early 0.0 / mid 0.1 / late 0.1)
  upd  100 | return    0.000 | deliv   0.00 | blocked 80.3% | idle  0.7% | ent 0.329
  upd  101 | return    0.000 | deliv   0.00 | blocked 80.2% | idle  0.7% | ent 0.331
  upd  102 | return    0.200 | deliv   0.20 | blocked 80.8% | idle  0.6% | ent 0.324
  upd  103 | return    0.100 | deliv   0.10 | blocked 80.7% | idle  1.0% | ent 0.365
  upd  104 | return    0.000 | deliv   0.00 | blocked 87.0% | idle  0.7% | ent 0.289
  upd  105 | return    0.000 | deliv   0.00 | blocked 81.9% | idle  0.8% | ent 0.328
  upd  106 | return    0.100 | deliv   0.10 | blocked 81.4% | idle  1.0% | ent 0.402
  upd  107 | return    0.100 | deliv   0.10 | blocked 80.9% | idle  0.9% | ent 0.395
  upd  108 | return    0.000 | deliv   0.00 | blocked 80.5% | idle  1.1% | ent 0.404
  upd  109 | return    0.100 | deliv   0.10 | blocked 79.9% | idle  1.1% | ent 0.375
  upd  110 | return    0.000 | deliv   0.00 | blocked 81.4% | idle  0.9% | ent 0.323
  upd  111 | return    0.100 | deliv   0.10 | blocked 83.4% | idle  0.7% | ent 0.293
  upd  112 | return    0.000 | deliv   0.00 | blocked 85.8% | idle  0.7% | ent 0.264
  upd  113 | return    0.300 | deliv   0.30 | blocked 83.9% | idle  0.7% | ent 0.275
  upd  114 | return    0.000 | deliv   0.00 | blocked 88.0% | idle  0.5% | ent 0.200
  upd  115 | return    0.000 | deliv   0.00 | blocked 85.7% | idle  0.6% | ent 0.234
  upd  116 | return    0.100 | deliv   0.10 | blocked 88.2% | idle  0.4% | ent 0.215
  upd  117 | return    0.000 | deliv   0.00 | blocked 87.7% | idle  0.4% | ent 0.223
  upd  118 | return    0.000 | deliv   0.00 | blocked 86.8% | idle  0.4% | ent 0.249
  upd  119 | return    0.000 | deliv   0.00 | blocked 86.8% | idle  0.5% | ent 0.205
  upd  120 | return    0.000 | deliv   0.00 | blocked 86.2% | idle  0.5% | ent 0.236
  upd  121 | return    0.000 | deliv   0.00 | blocked 87.9% | idle  0.4% | ent 0.199
  upd  122 | return    0.000 | deliv   0.00 | blocked 86.7% | idle  0.4% | ent 0.211
  upd  123 | return    0.000 | deliv   0.00 | blocked 86.9% | idle  0.4% | ent 0.200
  upd  124 | return    0.100 | deliv   0.10 | blocked 86.2% | idle  0.3% | ent 0.219
  upd  125 | return    0.100 | deliv   0.10 | blocked 87.2% | idle  0.4% | ent 0.249
  upd  126 | return    0.000 | deliv   0.00 | blocked 84.5% | idle  0.5% | ent 0.324
  upd  127 | return    0.000 | deliv   0.00 | blocked 83.8% | idle  0.4% | ent 0.297
  upd  128 | return    0.100 | deliv   0.10 | blocked 83.1% | idle  0.5% | ent 0.299
  upd  129 | return    0.000 | deliv   0.00 | blocked 78.0% | idle  0.6% | ent 0.359
  upd  130 | return    0.000 | deliv   0.00 | blocked 80.0% | idle  0.6% | ent 0.334
  upd  131 | return    0.100 | deliv   0.10 | blocked 80.2% | idle  0.5% | ent 0.370
  upd  132 | return    0.100 | deliv   0.10 | blocked 79.2% | idle  0.6% | ent 0.351
  upd  133 | return    0.200 | deliv   0.20 | blocked 80.2% | idle  0.7% | ent 0.312
  upd  134 | return    0.000 | deliv   0.00 | blocked 84.7% | idle  0.5% | ent 0.255
  upd  135 | return    0.000 | deliv   0.00 | blocked 85.1% | idle  0.4% | ent 0.270
  upd  136 | return    0.000 | deliv   0.00 | blocked 87.5% | idle  0.5% | ent 0.223
  upd  137 | return    0.100 | deliv   0.10 | blocked 90.3% | idle  0.4% | ent 0.185
  upd  138 | return    0.000 | deliv   0.00 | blocked 90.9% | idle  0.2% | ent 0.159
  upd  139 | return    0.000 | deliv   0.00 | blocked 90.5% | idle  0.3% | ent 0.179
  upd  140 | return    0.000 | deliv   0.00 | blocked 89.4% | idle  0.3% | ent 0.180
  upd  141 | return    0.000 | deliv   0.00 | blocked 89.2% | idle  0.3% | ent 0.196
  upd  142 | return    0.000 | deliv   0.00 | blocked 90.7% | idle  0.3% | ent 0.180
  upd  143 | return    0.000 | deliv   0.00 | blocked 89.3% | idle  0.3% | ent 0.179
  upd  144 | return    0.000 | deliv   0.00 | blocked 89.5% | idle  0.4% | ent 0.198
  upd  145 | return    0.000 | deliv   0.00 | blocked 87.4% | idle  0.4% | ent 0.246
  upd  146 | return    0.000 | deliv   0.00 | blocked 88.1% | idle  0.3% | ent 0.213
  upd  147 | return    0.000 | deliv   0.00 | blocked 89.8% | idle  0.4% | ent 0.206
  upd  148 | return    0.200 | deliv   0.20 | blocked 88.7% | idle  0.3% | ent 0.236
  upd  149 | return    0.000 | deliv   0.00 | blocked 87.7% | idle  0.4% | ent 0.230
  upd  150 | return    0.000 | deliv   0.00 | blocked 82.3% | idle  0.4% | ent 0.316
  upd  151 | return    0.000 | deliv   0.00 | blocked 83.6% | idle  0.3% | ent 0.273
  upd  152 | return    0.100 | deliv   0.10 | blocked 81.8% | idle  0.3% | ent 0.315
  upd  153 | return    0.000 | deliv   0.00 | blocked 84.5% | idle  0.3% | ent 0.265
  upd  154 | return    0.000 | deliv   0.00 | blocked 84.8% | idle  0.3% | ent 0.251
  upd  155 | return    0.000 | deliv   0.00 | blocked 83.6% | idle  0.3% | ent 0.267
  upd  156 | return    0.000 | deliv   0.00 | blocked 87.7% | idle  0.4% | ent 0.228
  upd  157 | return    0.000 | deliv   0.00 | blocked 88.3% | idle  0.4% | ent 0.219
  upd  158 | return    0.000 | deliv   0.00 | blocked 87.9% | idle  0.4% | ent 0.201
  upd  159 | return    0.000 | deliv   0.00 | blocked 87.9% | idle  0.4% | ent 0.228
  upd  160 | return    0.000 | deliv   0.00 | blocked 87.3% | idle  0.4% | ent 0.229
  upd  161 | return    0.000 | deliv   0.00 | blocked 87.7% | idle  0.4% | ent 0.246
  upd  162 | return    0.000 | deliv   0.00 | blocked 87.2% | idle  0.4% | ent 0.248
  upd  163 | return    0.200 | deliv   0.20 | blocked 87.3% | idle  0.5% | ent 0.259
  upd  164 | return    0.100 | deliv   0.10 | blocked 85.4% | idle  0.5% | ent 0.308
  upd  165 | return    0.000 | deliv   0.00 | blocked 82.8% | idle  0.6% | ent 0.327
  upd  166 | return    0.000 | deliv   0.00 | blocked 82.2% | idle  0.7% | ent 0.339
  upd  167 | return    0.200 | deliv   0.20 | blocked 80.3% | idle  0.5% | ent 0.372
  upd  168 | return    0.000 | deliv   0.00 | blocked 78.8% | idle  0.7% | ent 0.396
  upd  169 | return    0.000 | deliv   0.00 | blocked 75.4% | idle  0.6% | ent 0.455
  upd  170 | return    0.000 | deliv   0.00 | blocked 76.9% | idle  0.6% | ent 0.399
  upd  171 | return    0.000 | deliv   0.00 | blocked 82.3% | idle  0.5% | ent 0.295
  upd  172 | return    0.100 | deliv   0.10 | blocked 81.9% | idle  0.4% | ent 0.318
  upd  173 | return    0.000 | deliv   0.00 | blocked 83.5% | idle  0.4% | ent 0.290
  upd  174 | return    0.000 | deliv   0.00 | blocked 86.7% | idle  0.4% | ent 0.267
  upd  175 | return    0.200 | deliv   0.20 | blocked 84.8% | idle  0.4% | ent 0.233
  upd  176 | return    0.000 | deliv   0.00 | blocked 83.2% | idle  0.3% | ent 0.255
  upd  177 | return    0.000 | deliv   0.00 | blocked 87.1% | idle  0.3% | ent 0.205
  upd  178 | return    0.000 | deliv   0.00 | blocked 86.0% | idle  0.2% | ent 0.226
  upd  179 | return    0.000 | deliv   0.00 | blocked 87.8% | idle  0.2% | ent 0.200
  upd  180 | return    0.000 | deliv   0.00 | blocked 89.1% | idle  0.2% | ent 0.188
  upd  181 | return    0.000 | deliv   0.00 | blocked 87.3% | idle  0.2% | ent 0.230
  upd  182 | return    0.000 | deliv   0.00 | blocked 86.1% | idle  0.2% | ent 0.217
  upd  183 | return    0.000 | deliv   0.00 | blocked 88.1% | idle  0.2% | ent 0.208
  upd  184 | return    0.000 | deliv   0.00 | blocked 89.3% | idle  0.2% | ent 0.165
  upd  185 | return    0.000 | deliv   0.00 | blocked 87.7% | idle  0.2% | ent 0.214
  upd  186 | return    0.000 | deliv   0.00 | blocked 85.4% | idle  0.3% | ent 0.278
  upd  187 | return    0.000 | deliv   0.00 | blocked 85.7% | idle  0.2% | ent 0.247
  upd  188 | return    0.000 | deliv   0.00 | blocked 89.0% | idle  0.2% | ent 0.188
  upd  189 | return    0.000 | deliv   0.00 | blocked 86.8% | idle  0.2% | ent 0.226
  upd  190 | return    0.000 | deliv   0.00 | blocked 88.8% | idle  0.3% | ent 0.202
  upd  191 | return    0.000 | deliv   0.00 | blocked 87.4% | idle  0.3% | ent 0.221
  upd  192 | return    0.000 | deliv   0.00 | blocked 88.0% | idle  0.3% | ent 0.223
  upd  193 | return    0.000 | deliv   0.00 | blocked 82.4% | idle  0.3% | ent 0.295
  upd  194 | return    0.000 | deliv   0.00 | blocked 85.4% | idle  0.3% | ent 0.263
  upd  195 | return    0.000 | deliv   0.00 | blocked 86.0% | idle  0.4% | ent 0.245
  upd  196 | return    0.000 | deliv   0.00 | blocked 82.4% | idle  0.3% | ent 0.310
  upd  197 | return    0.000 | deliv   0.00 | blocked 85.3% | idle  0.4% | ent 0.254
  upd  198 | return    0.000 | deliv   0.00 | blocked 83.6% | idle  0.4% | ent 0.292
  upd  199 | return    0.000 | deliv   0.00 | blocked 82.2% | idle  0.3% | ent 0.314
[commentary @ update 200]
  deliveries/episode ~0.0 ▼   team return ~0.03 ▼
  contention (forward-blocked) 85.1% ▲   idle 0.5%
  barely any deliveries yet across the episode (early 0.0 / mid 0.0 / late 0.0)
  upd  200 | return    0.100 | deliv   0.10 | blocked 85.4% | idle  0.3% | ent 0.297
  upd  201 | return    0.000 | deliv   0.00 | blocked 78.1% | idle  0.4% | ent 0.398
  upd  202 | return    0.000 | deliv   0.00 | blocked 78.6% | idle  0.5% | ent 0.361
  upd  203 | return    0.100 | deliv   0.10 | blocked 83.3% | idle  0.4% | ent 0.296
  upd  204 | return    0.100 | deliv   0.10 | blocked 72.7% | idle  0.4% | ent 0.385
  upd  205 | return    0.000 | deliv   0.00 | blocked 78.0% | idle  0.5% | ent 0.367
  upd  206 | return    0.100 | deliv   0.10 | blocked 74.4% | idle  0.4% | ent 0.471
  upd  207 | return    0.100 | deliv   0.10 | blocked 77.2% | idle  0.4% | ent 0.322
  upd  208 | return    0.000 | deliv   0.00 | blocked 81.7% | idle  0.3% | ent 0.263
  upd  209 | return    0.100 | deliv   0.10 | blocked 81.4% | idle  0.4% | ent 0.289
  upd  210 | return    0.000 | deliv   0.00 | blocked 84.6% | idle  0.3% | ent 0.256
  upd  211 | return    0.000 | deliv   0.00 | blocked 88.7% | idle  0.2% | ent 0.189
  upd  212 | return    0.100 | deliv   0.10 | blocked 87.7% | idle  0.3% | ent 0.225
  upd  213 | return    0.100 | deliv   0.10 | blocked 86.9% | idle  0.2% | ent 0.248
  upd  214 | return    0.000 | deliv   0.00 | blocked 83.2% | idle  0.3% | ent 0.322
  upd  215 | return    0.000 | deliv   0.00 | blocked 81.8% | idle  0.4% | ent 0.322
  upd  216 | return    0.000 | deliv   0.00 | blocked 80.3% | idle  0.4% | ent 0.351
  upd  217 | return    0.200 | deliv   0.20 | blocked 81.5% | idle  0.5% | ent 0.357
  upd  218 | return    0.000 | deliv   0.00 | blocked 77.8% | idle  0.5% | ent 0.399
  upd  219 | return    0.200 | deliv   0.20 | blocked 67.5% | idle  0.5% | ent 0.479
  upd  220 | return    0.000 | deliv   0.00 | blocked 64.3% | idle  0.4% | ent 0.446
  upd  221 | return    0.100 | deliv   0.10 | blocked 74.4% | idle  0.4% | ent 0.328
  upd  222 | return    0.000 | deliv   0.00 | blocked 81.9% | idle  0.4% | ent 0.294
  upd  223 | return    0.000 | deliv   0.00 | blocked 80.4% | idle  0.4% | ent 0.309
  upd  224 | return    0.000 | deliv   0.00 | blocked 78.7% | idle  0.4% | ent 0.319
  upd  225 | return    0.000 | deliv   0.00 | blocked 82.2% | idle  0.4% | ent 0.313
  upd  226 | return    0.300 | deliv   0.30 | blocked 78.8% | idle  0.5% | ent 0.330
  upd  227 | return    0.000 | deliv   0.00 | blocked 79.3% | idle  0.5% | ent 0.317
  upd  228 | return    0.000 | deliv   0.00 | blocked 84.4% | idle  0.5% | ent 0.258
  upd  229 | return    0.000 | deliv   0.00 | blocked 89.1% | idle  0.5% | ent 0.201
  upd  230 | return    0.000 | deliv   0.00 | blocked 89.2% | idle  0.4% | ent 0.197
  upd  231 | return    0.000 | deliv   0.00 | blocked 88.0% | idle  0.5% | ent 0.196
  upd  232 | return    0.000 | deliv   0.00 | blocked 91.1% | idle  0.6% | ent 0.182
  upd  233 | return    0.000 | deliv   0.00 | blocked 89.5% | idle  0.4% | ent 0.189
  upd  234 | return    0.000 | deliv   0.00 | blocked 90.7% | idle  0.5% | ent 0.193
  upd  235 | return    0.000 | deliv   0.00 | blocked 90.0% | idle  0.4% | ent 0.192
  upd  236 | return    0.100 | deliv   0.10 | blocked 90.1% | idle  0.3% | ent 0.169
  upd  237 | return    0.000 | deliv   0.00 | blocked 90.7% | idle  0.4% | ent 0.162
  upd  238 | return    0.000 | deliv   0.00 | blocked 91.3% | idle  0.3% | ent 0.169
  upd  239 | return    0.000 | deliv   0.00 | blocked 89.7% | idle  0.2% | ent 0.188
  upd  240 | return    0.000 | deliv   0.00 | blocked 89.0% | idle  0.3% | ent 0.162
  upd  241 | return    0.000 | deliv   0.00 | blocked 91.0% | idle  0.3% | ent 0.156
  upd  242 | return    0.000 | deliv   0.00 | blocked 92.6% | idle  0.4% | ent 0.161
  upd  243 | return    0.000 | deliv   0.00 | blocked 90.5% | idle  0.3% | ent 0.170
  upd  244 | return    0.000 | deliv   0.00 | blocked 91.8% | idle  0.3% | ent 0.167
  upd  245 | return    0.000 | deliv   0.00 | blocked 90.5% | idle  0.4% | ent 0.167
  upd  246 | return    0.000 | deliv   0.00 | blocked 88.0% | idle  0.3% | ent 0.184
  upd  247 | return    0.000 | deliv   0.00 | blocked 90.0% | idle  0.4% | ent 0.192
  upd  248 | return    0.000 | deliv   0.00 | blocked 89.8% | idle  0.3% | ent 0.161
  upd  249 | return    0.000 | deliv   0.00 | blocked 90.1% | idle  0.4% | ent 0.180
  upd  250 | return    0.000 | deliv   0.00 | blocked 91.2% | idle  0.4% | ent 0.177
  upd  251 | return    0.000 | deliv   0.00 | blocked 90.3% | idle  0.4% | ent 0.192
  upd  252 | return    0.000 | deliv   0.00 | blocked 91.5% | idle  0.4% | ent 0.175
  upd  253 | return    0.100 | deliv   0.10 | blocked 91.2% | idle  0.3% | ent 0.186
  upd  254 | return    0.000 | deliv   0.00 | blocked 87.8% | idle  0.5% | ent 0.241
  upd  255 | return    0.000 | deliv   0.00 | blocked 88.9% | idle  0.4% | ent 0.214
  upd  256 | return    0.100 | deliv   0.10 | blocked 88.2% | idle  0.6% | ent 0.242
  upd  257 | return    0.000 | deliv   0.00 | blocked 88.2% | idle  0.5% | ent 0.241
  upd  258 | return    0.000 | deliv   0.00 | blocked 87.0% | idle  0.6% | ent 0.255
  upd  259 | return    0.200 | deliv   0.20 | blocked 82.8% | idle  0.6% | ent 0.281
