E0602 22:37:41.946430     450 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0602 22:37:41.968346     401 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=maa2c (centralised_critic=True, use_ppo=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=1000  (steps/update=5000)  seed=2
run-dir=runs/maa2c_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  upd   61 | return    0.200 | deliv   0.20 | blocked 32.8% | idle  1.0% | ent 0.747
  upd   62 | return    0.100 | deliv   0.10 | blocked 31.6% | idle  0.9% | ent 0.743
  upd   63 | return    0.200 | deliv   0.20 | blocked 33.1% | idle  0.9% | ent 0.747
  upd   64 | return    0.200 | deliv   0.20 | blocked 31.0% | idle  1.0% | ent 0.747
  upd   65 | return    0.600 | deliv   0.60 | blocked 33.4% | idle  1.0% | ent 0.746
  upd   66 | return    0.300 | deliv   0.30 | blocked 28.7% | idle  1.1% | ent 0.784
  upd   67 | return    0.400 | deliv   0.40 | blocked 28.2% | idle  1.0% | ent 0.784
  upd   68 | return    0.100 | deliv   0.10 | blocked 30.1% | idle  1.0% | ent 0.786
  upd   69 | return    0.200 | deliv   0.20 | blocked 28.7% | idle  1.0% | ent 0.803
  upd   70 | return    0.200 | deliv   0.20 | blocked 28.7% | idle  1.0% | ent 0.799
  upd   71 | return    0.500 | deliv   0.50 | blocked 26.7% | idle  1.4% | ent 0.838
  upd   72 | return    0.100 | deliv   0.10 | blocked 28.9% | idle  1.2% | ent 0.807
  upd   73 | return    0.500 | deliv   0.50 | blocked 30.2% | idle  1.2% | ent 0.797
  upd   74 | return    0.400 | deliv   0.40 | blocked 29.9% | idle  0.9% | ent 0.786
  upd   75 | return    0.200 | deliv   0.20 | blocked 31.3% | idle  0.9% | ent 0.785
  upd   76 | return    0.300 | deliv   0.30 | blocked 25.7% | idle  1.2% | ent 0.821
  upd   77 | return    0.100 | deliv   0.10 | blocked 29.3% | idle  1.1% | ent 0.787
  upd   78 | return    0.300 | deliv   0.30 | blocked 30.4% | idle  0.9% | ent 0.772
  upd   79 | return    0.600 | deliv   0.60 | blocked 29.5% | idle  0.8% | ent 0.779
  upd   80 | return    0.100 | deliv   0.10 | blocked 32.5% | idle  0.8% | ent 0.755
  upd   81 | return    0.600 | deliv   0.60 | blocked 32.7% | idle  0.9% | ent 0.758
  upd   82 | return    0.300 | deliv   0.30 | blocked 33.6% | idle  0.9% | ent 0.746
  upd   83 | return    0.300 | deliv   0.30 | blocked 28.8% | idle  1.1% | ent 0.779
  upd   84 | return    0.300 | deliv   0.30 | blocked 28.4% | idle  1.2% | ent 0.793
  upd   85 | return    0.100 | deliv   0.10 | blocked 29.7% | idle  1.1% | ent 0.784
