E0614 00:22:39.568782   17332 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0614 00:22:39.586518   17290 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=maa2c (centralised_critic=True, use_ppo=False, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/maa2c_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
resumed from checkpoint step 3000 (latest) (15,000,000 env steps)
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 3000] return 4.00  deliveries 4  -> runs/maa2c_tiny-4ag_seed2/replays/replay_upd003000_s0.npz
  upd 3057 | return    3.200 | deliv   3.20 | blocked 11.4% | idle  0.3% | ent 0.511
  upd 3058 | return    4.400 | deliv   4.40 | blocked 10.3% | idle  0.3% | ent 0.505
  upd 3059 | return    3.700 | deliv   3.70 | blocked  8.8% | idle  0.3% | ent 0.511
  upd 3060 | return    4.000 | deliv   4.00 | blocked  9.0% | idle  0.3% | ent 0.501
  upd 3061 | return    3.100 | deliv   3.10 | blocked  7.7% | idle  0.4% | ent 0.507
  upd 3062 | return    4.400 | deliv   4.40 | blocked  9.2% | idle  0.3% | ent 0.460
  upd 3063 | return    3.200 | deliv   3.20 | blocked 10.1% | idle  0.3% | ent 0.482
  upd 3064 | return    4.100 | deliv   4.10 | blocked  7.7% | idle  0.3% | ent 0.497
  upd 3065 | return    3.300 | deliv   3.30 | blocked  8.0% | idle  0.3% | ent 0.465
  upd 3066 | return    3.100 | deliv   3.10 | blocked  9.2% | idle  0.3% | ent 0.440
  upd 3067 | return    5.300 | deliv   5.30 | blocked  7.5% | idle  0.3% | ent 0.497
  upd 3068 | return    3.400 | deliv   3.40 | blocked  9.2% | idle  0.3% | ent 0.501
  upd 3069 | return    3.800 | deliv   3.80 | blocked  7.8% | idle  0.4% | ent 0.502
  upd 3070 | return    2.600 | deliv   2.60 | blocked  8.8% | idle  0.3% | ent 0.517
  upd 3071 | return    3.200 | deliv   3.20 | blocked  9.8% | idle  0.4% | ent 0.496
  upd 3072 | return    5.800 | deliv   5.80 | blocked  7.4% | idle  0.2% | ent 0.487
  upd 3073 | return    3.500 | deliv   3.50 | blocked  8.7% | idle  0.3% | ent 0.484
  upd 3074 | return    4.700 | deliv   4.70 | blocked  9.4% | idle  0.2% | ent 0.458
  upd 3075 | return    4.200 | deliv   4.20 | blocked  9.1% | idle  0.3% | ent 0.472
  upd 3076 | return    3.200 | deliv   3.20 | blocked  8.4% | idle  0.3% | ent 0.485
  upd 3077 | return    2.900 | deliv   2.90 | blocked  8.6% | idle  0.3% | ent 0.501
  upd 3078 | return    4.300 | deliv   4.30 | blocked  9.7% | idle  0.3% | ent 0.474
  upd 3079 | return    4.300 | deliv   4.30 | blocked  7.0% | idle  0.3% | ent 0.499
  upd 3080 | return    4.600 | deliv   4.60 | blocked  9.4% | idle  0.3% | ent 0.489
  upd 3081 | return    5.300 | deliv   5.30 | blocked  9.2% | idle  0.3% | ent 0.491
  upd 3082 | return    3.500 | deliv   3.50 | blocked  9.1% | idle  0.3% | ent 0.518
  upd 3083 | return    4.000 | deliv   4.00 | blocked  9.2% | idle  0.2% | ent 0.515
  upd 3084 | return    3.600 | deliv   3.60 | blocked  9.5% | idle  0.3% | ent 0.529
  upd 3085 | return    3.600 | deliv   3.60 | blocked 12.4% | idle  0.3% | ent 0.498
  upd 3086 | return    3.400 | deliv   3.40 | blocked  9.0% | idle  0.3% | ent 0.536
  upd 3087 | return    3.900 | deliv   3.90 | blocked 11.5% | idle  0.3% | ent 0.526
  upd 3088 | return    4.100 | deliv   4.10 | blocked 10.0% | idle  0.2% | ent 0.533
  upd 3089 | return    4.700 | deliv   4.70 | blocked  8.7% | idle  0.3% | ent 0.543
  upd 3090 | return    4.700 | deliv   4.70 | blocked 10.9% | idle  0.3% | ent 0.532
  upd 3091 | return    2.800 | deliv   2.80 | blocked 12.3% | idle  0.3% | ent 0.537
  upd 3092 | return    4.000 | deliv   4.00 | blocked 12.1% | idle  0.3% | ent 0.531
  upd 3093 | return    3.600 | deliv   3.60 | blocked 11.9% | idle  0.3% | ent 0.516
  upd 3094 | return    2.600 | deliv   2.60 | blocked 10.8% | idle  0.3% | ent 0.537
  upd 3095 | return    3.500 | deliv   3.50 | blocked  9.4% | idle  0.3% | ent 0.557
  upd 3096 | return    3.800 | deliv   3.80 | blocked 10.6% | idle  0.4% | ent 0.570
  upd 3097 | return    2.900 | deliv   2.90 | blocked 11.0% | idle  0.3% | ent 0.543
  upd 3098 | return    3.300 | deliv   3.30 | blocked 12.0% | idle  0.3% | ent 0.502
  upd 3099 | return    4.300 | deliv   4.30 | blocked 12.7% | idle  0.3% | ent 0.540
  [replay @ update 3100] return 1.00  deliveries 1  -> runs/maa2c_tiny-4ag_seed2/replays/replay_upd003100_s0.npz
  upd 3100 | return    5.100 | deliv   5.10 | blocked 12.0% | idle  0.3% | ent 0.554
  upd 3101 | return    5.600 | deliv   5.60 | blocked 12.7% | idle  0.3% | ent 0.550
  upd 3102 | return    2.900 | deliv   2.90 | blocked 13.2% | idle  0.4% | ent 0.524
  upd 3103 | return    3.200 | deliv   3.20 | blocked 15.6% | idle  0.3% | ent 0.511
  upd 3104 | return    3.300 | deliv   3.30 | blocked 14.8% | idle  0.4% | ent 0.497
  upd 3105 | return    5.300 | deliv   5.30 | blocked 14.0% | idle  0.2% | ent 0.514
  upd 3106 | return    4.000 | deliv   4.00 | blocked 15.3% | idle  0.3% | ent 0.515
  upd 3107 | return    4.100 | deliv   4.10 | blocked 17.7% | idle  0.3% | ent 0.510
  upd 3108 | return    3.700 | deliv   3.70 | blocked 17.8% | idle  0.3% | ent 0.487
  upd 3109 | return    4.800 | deliv   4.80 | blocked 15.3% | idle  0.3% | ent 0.525
  upd 3110 | return    2.600 | deliv   2.60 | blocked 14.4% | idle  0.3% | ent 0.518
  upd 3111 | return    3.500 | deliv   3.50 | blocked 13.8% | idle  0.3% | ent 0.513
  upd 3112 | return    5.800 | deliv   5.80 | blocked 15.2% | idle  0.2% | ent 0.514
  upd 3113 | return    2.800 | deliv   2.80 | blocked 16.2% | idle  0.3% | ent 0.502
  upd 3114 | return    3.400 | deliv   3.40 | blocked 14.9% | idle  0.3% | ent 0.509
  upd 3115 | return    3.900 | deliv   3.90 | blocked 16.0% | idle  0.3% | ent 0.536
  upd 3116 | return    3.800 | deliv   3.80 | blocked 15.9% | idle  0.3% | ent 0.529
  upd 3117 | return    4.300 | deliv   4.30 | blocked 15.2% | idle  0.3% | ent 0.524
  upd 3118 | return    4.900 | deliv   4.90 | blocked 14.4% | idle  0.3% | ent 0.536
  upd 3119 | return    3.800 | deliv   3.80 | blocked 13.4% | idle  0.4% | ent 0.516
  upd 3120 | return    3.600 | deliv   3.60 | blocked 13.7% | idle  0.3% | ent 0.519
  upd 3121 | return    3.400 | deliv   3.40 | blocked 12.2% | idle  0.3% | ent 0.499
  upd 3122 | return    3.500 | deliv   3.50 | blocked 11.6% | idle  0.3% | ent 0.530
  upd 3123 | return    4.700 | deliv   4.70 | blocked 10.2% | idle  0.3% | ent 0.523
  upd 3124 | return    5.300 | deliv   5.30 | blocked  7.5% | idle  0.3% | ent 0.533
  upd 3125 | return    4.900 | deliv   4.90 | blocked  9.6% | idle  0.3% | ent 0.540
  upd 3126 | return    4.100 | deliv   4.10 | blocked  8.4% | idle  0.4% | ent 0.511
  upd 3127 | return    1.800 | deliv   1.80 | blocked  7.5% | idle  0.4% | ent 0.572
  upd 3128 | return    3.900 | deliv   3.90 | blocked 10.6% | idle  0.3% | ent 0.558
  upd 3129 | return    4.000 | deliv   4.00 | blocked  8.8% | idle  0.3% | ent 0.557
  upd 3130 | return    3.000 | deliv   3.00 | blocked  9.1% | idle  0.4% | ent 0.502
  upd 3131 | return    4.100 | deliv   4.10 | blocked  7.8% | idle  0.4% | ent 0.522
  upd 3132 | return    5.400 | deliv   5.40 | blocked  8.2% | idle  0.2% | ent 0.428
  upd 3133 | return    4.200 | deliv   4.20 | blocked  7.4% | idle  0.4% | ent 0.568
  upd 3134 | return    2.900 | deliv   2.90 | blocked  7.8% | idle  0.3% | ent 0.524
  upd 3135 | return    4.700 | deliv   4.70 | blocked  6.6% | idle  0.2% | ent 0.514
  upd 3136 | return    3.200 | deliv   3.20 | blocked  9.8% | idle  0.4% | ent 0.551
  upd 3137 | return    2.800 | deliv   2.80 | blocked  8.7% | idle  0.3% | ent 0.492
  upd 3138 | return    3.900 | deliv   3.90 | blocked 10.7% | idle  0.2% | ent 0.482
  upd 3139 | return    4.800 | deliv   4.80 | blocked  6.7% | idle  0.3% | ent 0.515
  upd 3140 | return    3.500 | deliv   3.50 | blocked  7.1% | idle  0.4% | ent 0.515
  upd 3141 | return    3.800 | deliv   3.80 | blocked  5.9% | idle  0.3% | ent 0.489
  upd 3142 | return    4.500 | deliv   4.50 | blocked  5.6% | idle  0.3% | ent 0.493
  upd 3143 | return    4.000 | deliv   4.00 | blocked  6.3% | idle  0.3% | ent 0.443
  upd 3144 | return    4.700 | deliv   4.70 | blocked  6.9% | idle  0.3% | ent 0.503
  upd 3145 | return    2.700 | deliv   2.70 | blocked  8.7% | idle  0.4% | ent 0.518
  upd 3146 | return    3.500 | deliv   3.50 | blocked  7.5% | idle  0.3% | ent 0.446
  upd 3147 | return    5.400 | deliv   5.40 | blocked  6.3% | idle  0.3% | ent 0.507
  upd 3148 | return    4.900 | deliv   4.90 | blocked  7.8% | idle  0.3% | ent 0.502
  upd 3149 | return    4.700 | deliv   4.70 | blocked  9.0% | idle  0.4% | ent 0.525
  upd 3150 | return    3.600 | deliv   3.60 | blocked  7.8% | idle  0.3% | ent 0.515
  upd 3151 | return    4.200 | deliv   4.20 | blocked 10.0% | idle  0.4% | ent 0.543
  upd 3152 | return    4.600 | deliv   4.60 | blocked  9.0% | idle  0.3% | ent 0.575
  upd 3153 | return    3.700 | deliv   3.70 | blocked 10.0% | idle  0.3% | ent 0.537
  upd 3154 | return    3.800 | deliv   3.80 | blocked  9.9% | idle  0.4% | ent 0.551
  upd 3155 | return    4.100 | deliv   4.10 | blocked 12.3% | idle  0.4% | ent 0.562
  upd 3156 | return    3.700 | deliv   3.70 | blocked 10.1% | idle  0.3% | ent 0.567
  upd 3157 | return    2.900 | deliv   2.90 | blocked 11.8% | idle  0.4% | ent 0.547
