E0614 00:51:54.171492     452 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0614 00:51:54.190415     407 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=ia2c (centralised_critic=False, use_ppo=False, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/ia2c_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
resumed from checkpoint step 2000 (latest) (10,000,000 env steps)
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 2000] return 4.00  deliveries 4  -> runs/ia2c_tiny-4ag_seed2/replays/replay_upd002000_s0.npz
  upd 2057 | return    5.200 | deliv   5.20 | blocked 10.9% | idle  0.2% | ent 0.446
  upd 2058 | return    2.700 | deliv   2.70 | blocked 23.0% | idle  0.1% | ent 0.345
  upd 2059 | return    3.800 | deliv   3.80 | blocked 14.4% | idle  0.1% | ent 0.399
  upd 2060 | return    3.500 | deliv   3.50 | blocked 11.1% | idle  0.1% | ent 0.433
  upd 2061 | return    3.900 | deliv   3.90 | blocked 14.8% | idle  0.2% | ent 0.453
  upd 2062 | return    3.800 | deliv   3.80 | blocked 13.8% | idle  0.2% | ent 0.408
  upd 2063 | return    4.000 | deliv   4.00 | blocked 13.3% | idle  0.2% | ent 0.403
  upd 2064 | return    3.300 | deliv   3.30 | blocked 11.6% | idle  0.2% | ent 0.406
  upd 2065 | return    4.600 | deliv   4.60 | blocked 11.3% | idle  0.1% | ent 0.395
  upd 2066 | return    3.800 | deliv   3.80 | blocked 12.7% | idle  0.1% | ent 0.415
  upd 2067 | return    3.100 | deliv   3.10 | blocked  7.9% | idle  0.1% | ent 0.404
  upd 2068 | return    4.600 | deliv   4.60 | blocked  6.5% | idle  0.2% | ent 0.423
  upd 2069 | return    4.100 | deliv   4.10 | blocked  6.7% | idle  0.1% | ent 0.392
  upd 2070 | return    4.300 | deliv   4.30 | blocked  8.0% | idle  0.1% | ent 0.417
  upd 2071 | return    4.300 | deliv   4.30 | blocked 13.9% | idle  0.1% | ent 0.379
  upd 2072 | return    5.400 | deliv   5.40 | blocked 12.4% | idle  0.1% | ent 0.375
  upd 2073 | return    3.200 | deliv   3.20 | blocked 18.4% | idle  0.1% | ent 0.353
