E0613 00:01:58.031783   15499 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0613 00:01:58.045836   15457 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=ia2c (centralised_critic=False, use_ppo=False, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/ia2c_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 0] return 0.00  deliveries 0  -> runs/ia2c_tiny-4ag_seed2/replays/replay_upd000000_s0.npz
  upd   59 | return    0.100 | deliv   0.10 | blocked 44.9% | idle  0.6% | ent 0.754
  upd   60 | return    0.000 | deliv   0.00 | blocked 46.8% | idle  0.7% | ent 0.762
  upd   61 | return    0.200 | deliv   0.20 | blocked 46.9% | idle  0.6% | ent 0.744
  upd   62 | return    0.200 | deliv   0.20 | blocked 48.1% | idle  0.6% | ent 0.734
  upd   63 | return    0.000 | deliv   0.00 | blocked 46.9% | idle  0.5% | ent 0.754
  upd   64 | return    0.100 | deliv   0.10 | blocked 44.7% | idle  0.6% | ent 0.772
  upd   65 | return    0.200 | deliv   0.20 | blocked 45.2% | idle  0.6% | ent 0.776
  upd   66 | return    0.300 | deliv   0.30 | blocked 40.8% | idle  0.7% | ent 0.829
  upd   67 | return    0.100 | deliv   0.10 | blocked 38.1% | idle  0.6% | ent 0.859
  upd   68 | return    0.000 | deliv   0.00 | blocked 34.5% | idle  0.8% | ent 0.908
  upd   69 | return    0.000 | deliv   0.00 | blocked 32.8% | idle  0.8% | ent 0.928
  upd   70 | return    0.200 | deliv   0.20 | blocked 30.9% | idle  0.8% | ent 0.937
  upd   71 | return    0.000 | deliv   0.00 | blocked 30.8% | idle  0.7% | ent 0.938
  upd   72 | return    0.100 | deliv   0.10 | blocked 27.5% | idle  0.7% | ent 0.945
  upd   73 | return    0.100 | deliv   0.10 | blocked 26.6% | idle  0.7% | ent 0.934
  upd   74 | return    0.000 | deliv   0.00 | blocked 25.4% | idle  0.7% | ent 0.942
  upd   75 | return    0.100 | deliv   0.10 | blocked 24.9% | idle  0.8% | ent 0.944
  upd   76 | return    0.000 | deliv   0.00 | blocked 22.9% | idle  0.7% | ent 0.908
  upd   77 | return    0.000 | deliv   0.00 | blocked 22.8% | idle  0.6% | ent 0.912
  upd   78 | return    0.000 | deliv   0.00 | blocked 21.9% | idle  0.8% | ent 0.923
  upd   79 | return    0.100 | deliv   0.10 | blocked 21.6% | idle  0.7% | ent 0.918
  upd   80 | return    0.200 | deliv   0.20 | blocked 20.8% | idle  0.7% | ent 0.903
  upd   81 | return    0.000 | deliv   0.00 | blocked 20.8% | idle  0.7% | ent 0.902
  upd   82 | return    0.100 | deliv   0.10 | blocked 20.3% | idle  0.7% | ent 0.902
  upd   83 | return    0.000 | deliv   0.00 | blocked 20.7% | idle  0.8% | ent 0.880
  upd   84 | return    0.100 | deliv   0.10 | blocked 21.6% | idle  0.8% | ent 0.894
  upd   85 | return    0.100 | deliv   0.10 | blocked 22.4% | idle  0.8% | ent 0.892
  upd   86 | return    0.000 | deliv   0.00 | blocked 24.4% | idle  0.7% | ent 0.909
  upd   87 | return    0.000 | deliv   0.00 | blocked 27.1% | idle  0.7% | ent 0.907
  upd   88 | return    0.000 | deliv   0.00 | blocked 29.1% | idle  0.8% | ent 0.906
  upd   89 | return    0.100 | deliv   0.10 | blocked 31.4% | idle  0.7% | ent 0.881
  upd   90 | return    0.100 | deliv   0.10 | blocked 32.5% | idle  0.8% | ent 0.906
  upd   91 | return    0.200 | deliv   0.20 | blocked 35.9% | idle  0.6% | ent 0.854
  upd   92 | return    0.100 | deliv   0.10 | blocked 36.5% | idle  0.7% | ent 0.852
  upd   93 | return    0.000 | deliv   0.00 | blocked 38.5% | idle  0.6% | ent 0.850
  upd   94 | return    0.000 | deliv   0.00 | blocked 41.9% | idle  0.6% | ent 0.813
  upd   95 | return    0.000 | deliv   0.00 | blocked 41.2% | idle  0.7% | ent 0.821
  upd   96 | return    0.000 | deliv   0.00 | blocked 44.4% | idle  0.6% | ent 0.774
  upd   97 | return    0.100 | deliv   0.10 | blocked 45.8% | idle  0.6% | ent 0.783
  upd   98 | return    0.000 | deliv   0.00 | blocked 48.1% | idle  0.5% | ent 0.739
  upd   99 | return    0.100 | deliv   0.10 | blocked 47.7% | idle  0.5% | ent 0.741
  [replay @ update 100] return 0.00  deliveries 0  -> runs/ia2c_tiny-4ag_seed2/replays/replay_upd000100_s0.npz
  upd  100 | return    0.100 | deliv   0.10 | blocked 48.8% | idle  0.5% | ent 0.737
  upd  101 | return    0.100 | deliv   0.10 | blocked 50.6% | idle  0.6% | ent 0.710
  upd  102 | return    0.100 | deliv   0.10 | blocked 49.6% | idle  0.4% | ent 0.715
  upd  103 | return    0.000 | deliv   0.00 | blocked 53.4% | idle  0.5% | ent 0.691
  upd  104 | return    0.000 | deliv   0.00 | blocked 53.6% | idle  0.5% | ent 0.690
  upd  105 | return    0.000 | deliv   0.00 | blocked 53.0% | idle  0.5% | ent 0.670
  upd  106 | return    0.100 | deliv   0.10 | blocked 56.5% | idle  0.5% | ent 0.642
  upd  107 | return    0.100 | deliv   0.10 | blocked 56.2% | idle  0.5% | ent 0.650
  upd  108 | return    0.000 | deliv   0.00 | blocked 57.6% | idle  0.6% | ent 0.629
  upd  109 | return    0.000 | deliv   0.00 | blocked 58.7% | idle  0.4% | ent 0.620
  upd  110 | return    0.000 | deliv   0.00 | blocked 61.8% | idle  0.4% | ent 0.580
  upd  111 | return    0.000 | deliv   0.00 | blocked 63.7% | idle  0.4% | ent 0.560
  upd  112 | return    0.000 | deliv   0.00 | blocked 62.0% | idle  0.4% | ent 0.566
  upd  113 | return    0.000 | deliv   0.00 | blocked 63.2% | idle  0.4% | ent 0.559
  upd  114 | return    0.000 | deliv   0.00 | blocked 64.9% | idle  0.3% | ent 0.561
  upd  115 | return    0.000 | deliv   0.00 | blocked 66.5% | idle  0.4% | ent 0.535
  upd  116 | return    0.100 | deliv   0.10 | blocked 66.3% | idle  0.3% | ent 0.534
  upd  117 | return    0.000 | deliv   0.00 | blocked 67.0% | idle  0.4% | ent 0.535
  upd  118 | return    0.000 | deliv   0.00 | blocked 66.7% | idle  0.3% | ent 0.531
  upd  119 | return    0.100 | deliv   0.10 | blocked 67.9% | idle  0.4% | ent 0.533
  upd  120 | return    0.100 | deliv   0.10 | blocked 68.2% | idle  0.5% | ent 0.533
  upd  121 | return    0.100 | deliv   0.10 | blocked 67.3% | idle  0.4% | ent 0.543
  upd  122 | return    0.000 | deliv   0.00 | blocked 67.7% | idle  0.4% | ent 0.529
  upd  123 | return    0.000 | deliv   0.00 | blocked 69.6% | idle  0.4% | ent 0.526
  upd  124 | return    0.000 | deliv   0.00 | blocked 67.4% | idle  0.4% | ent 0.546
  upd  125 | return    0.100 | deliv   0.10 | blocked 68.7% | idle  0.5% | ent 0.533
  upd  126 | return    0.100 | deliv   0.10 | blocked 72.8% | idle  0.2% | ent 0.506
