E0603 07:59:14.077652     439 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 07:59:14.096776     393 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=mappo (centralised_critic=True, use_ppo=True, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=600  (steps/update=5000)  seed=2
run-dir=runs/mappo_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  upd   61 | return    0.100 | deliv   0.10 | blocked 34.3% | idle  0.5% | ent 0.647
  upd   62 | return    0.600 | deliv   0.60 | blocked 33.7% | idle  0.5% | ent 0.678
  upd   63 | return    0.800 | deliv   0.80 | blocked 29.0% | idle  0.5% | ent 0.641
  upd   64 | return    0.100 | deliv   0.10 | blocked 34.1% | idle  0.5% | ent 0.580
  upd   65 | return    0.400 | deliv   0.40 | blocked 38.0% | idle  0.4% | ent 0.564
  upd   66 | return    0.300 | deliv   0.30 | blocked 49.9% | idle  0.4% | ent 0.487
  upd   67 | return    0.500 | deliv   0.50 | blocked 41.1% | idle  0.4% | ent 0.572
  upd   68 | return    0.200 | deliv   0.20 | blocked 35.7% | idle  0.5% | ent 0.584
  upd   69 | return    0.000 | deliv   0.00 | blocked 45.2% | idle  0.5% | ent 0.535
  upd   70 | return    0.100 | deliv   0.10 | blocked 45.1% | idle  0.4% | ent 0.517
  upd   71 | return    0.100 | deliv   0.10 | blocked 40.7% | idle  0.4% | ent 0.522
  upd   72 | return    0.000 | deliv   0.00 | blocked 45.4% | idle  0.3% | ent 0.516
  upd   73 | return    0.300 | deliv   0.30 | blocked 49.4% | idle  0.4% | ent 0.439
  upd   74 | return    0.200 | deliv   0.20 | blocked 58.9% | idle  0.3% | ent 0.422
  upd   75 | return    0.100 | deliv   0.10 | blocked 56.0% | idle  0.3% | ent 0.443
  upd   76 | return    0.300 | deliv   0.30 | blocked 54.8% | idle  0.4% | ent 0.480
  upd   77 | return    0.000 | deliv   0.00 | blocked 39.9% | idle  0.4% | ent 0.517
  upd   78 | return    0.300 | deliv   0.30 | blocked 43.0% | idle  0.5% | ent 0.528
  upd   79 | return    0.200 | deliv   0.20 | blocked 46.2% | idle  0.3% | ent 0.479
  upd   80 | return    0.200 | deliv   0.20 | blocked 56.7% | idle  0.4% | ent 0.406
  upd   81 | return    0.400 | deliv   0.40 | blocked 56.5% | idle  0.3% | ent 0.374
  upd   82 | return    0.400 | deliv   0.40 | blocked 56.3% | idle  0.3% | ent 0.406
  upd   83 | return    0.100 | deliv   0.10 | blocked 57.2% | idle  0.3% | ent 0.400
  upd   84 | return    0.000 | deliv   0.00 | blocked 57.8% | idle  0.3% | ent 0.395
  upd   85 | return    0.200 | deliv   0.20 | blocked 60.2% | idle  0.3% | ent 0.359
  upd   86 | return    0.100 | deliv   0.10 | blocked 56.3% | idle  0.3% | ent 0.389
  upd   87 | return    0.100 | deliv   0.10 | blocked 56.0% | idle  0.3% | ent 0.408
  upd   88 | return    0.100 | deliv   0.10 | blocked 50.0% | idle  0.4% | ent 0.448
  upd   89 | return    0.200 | deliv   0.20 | blocked 49.6% | idle  0.4% | ent 0.502
  upd   90 | return    0.300 | deliv   0.30 | blocked 48.6% | idle  0.4% | ent 0.506
  upd   91 | return    0.300 | deliv   0.30 | blocked 42.2% | idle  0.4% | ent 0.570
  upd   92 | return    0.100 | deliv   0.10 | blocked 37.4% | idle  0.6% | ent 0.614
  upd   93 | return    0.200 | deliv   0.20 | blocked 40.7% | idle  0.6% | ent 0.635
  upd   94 | return    0.200 | deliv   0.20 | blocked 36.1% | idle  0.7% | ent 0.696
  upd   95 | return    0.400 | deliv   0.40 | blocked 31.5% | idle  0.8% | ent 0.710
  upd   96 | return    0.200 | deliv   0.20 | blocked 32.5% | idle  0.8% | ent 0.680
  upd   97 | return    0.100 | deliv   0.10 | blocked 30.0% | idle  0.6% | ent 0.721
  upd   98 | return    0.200 | deliv   0.20 | blocked 37.8% | idle  0.8% | ent 0.740
  upd   99 | return    0.400 | deliv   0.40 | blocked 33.5% | idle  0.5% | ent 0.750
[commentary @ update 100]
  deliveries/episode ~0.3 ~   team return ~0.29 ~
  contention (forward-blocked) 30.0% ~   idle 1.5%
  barely any deliveries yet across the episode (early 0.1 / mid 0.1 / late 0.1)
  upd  100 | return    0.100 | deliv   0.10 | blocked 37.4% | idle  0.7% | ent 0.698
  upd  101 | return    0.100 | deliv   0.10 | blocked 42.6% | idle  0.7% | ent 0.698
  upd  102 | return    0.100 | deliv   0.10 | blocked 35.5% | idle  0.8% | ent 0.750
  upd  103 | return    0.300 | deliv   0.30 | blocked 37.7% | idle  1.2% | ent 0.837
  upd  104 | return    0.300 | deliv   0.30 | blocked 36.2% | idle  1.8% | ent 0.788
  upd  105 | return    0.100 | deliv   0.10 | blocked 41.6% | idle  1.9% | ent 0.694
  upd  106 | return    0.200 | deliv   0.20 | blocked 52.4% | idle  1.7% | ent 0.605
  upd  107 | return    0.200 | deliv   0.20 | blocked 49.4% | idle  1.3% | ent 0.560
  upd  108 | return    0.300 | deliv   0.30 | blocked 58.4% | idle  1.4% | ent 0.555
  upd  109 | return    0.000 | deliv   0.00 | blocked 60.5% | idle  1.2% | ent 0.507
  upd  110 | return    0.100 | deliv   0.10 | blocked 59.0% | idle  1.0% | ent 0.511
  upd  111 | return    0.300 | deliv   0.30 | blocked 61.0% | idle  0.9% | ent 0.549
  upd  112 | return    0.000 | deliv   0.00 | blocked 55.4% | idle  1.0% | ent 0.589
  upd  113 | return    0.300 | deliv   0.30 | blocked 53.5% | idle  1.0% | ent 0.630
  upd  114 | return    0.200 | deliv   0.20 | blocked 50.6% | idle  1.0% | ent 0.606
  upd  115 | return    0.400 | deliv   0.40 | blocked 56.0% | idle  0.9% | ent 0.598
  upd  116 | return    0.300 | deliv   0.30 | blocked 51.6% | idle  0.8% | ent 0.638
  upd  117 | return    0.400 | deliv   0.40 | blocked 51.4% | idle  0.9% | ent 0.582
  upd  118 | return    0.400 | deliv   0.40 | blocked 52.5% | idle  0.7% | ent 0.615
  upd  119 | return    0.000 | deliv   0.00 | blocked 53.5% | idle  0.7% | ent 0.593
  upd  120 | return    0.000 | deliv   0.00 | blocked 57.6% | idle  0.6% | ent 0.587
  upd  121 | return    0.300 | deliv   0.30 | blocked 53.0% | idle  0.5% | ent 0.606
  upd  122 | return    0.300 | deliv   0.30 | blocked 55.1% | idle  0.5% | ent 0.531
  upd  123 | return    0.300 | deliv   0.30 | blocked 53.7% | idle  0.6% | ent 0.514
  upd  124 | return    0.300 | deliv   0.30 | blocked 63.8% | idle  0.5% | ent 0.430
  upd  125 | return    0.100 | deliv   0.10 | blocked 69.9% | idle  0.5% | ent 0.364
  upd  126 | return    0.100 | deliv   0.10 | blocked 70.3% | idle  0.2% | ent 0.351
  upd  127 | return    0.200 | deliv   0.20 | blocked 67.3% | idle  0.3% | ent 0.392
  upd  128 | return    0.100 | deliv   0.10 | blocked 68.1% | idle  0.4% | ent 0.412
  upd  129 | return    0.200 | deliv   0.20 | blocked 66.7% | idle  0.4% | ent 0.433
  upd  130 | return    0.200 | deliv   0.20 | blocked 61.5% | idle  0.3% | ent 0.437
  upd  131 | return    0.000 | deliv   0.00 | blocked 62.9% | idle  0.3% | ent 0.438
  upd  132 | return    0.000 | deliv   0.00 | blocked 59.1% | idle  0.3% | ent 0.482
  upd  133 | return    0.100 | deliv   0.10 | blocked 53.8% | idle  0.4% | ent 0.514
  upd  134 | return    0.300 | deliv   0.30 | blocked 50.9% | idle  0.5% | ent 0.481
  upd  135 | return    0.000 | deliv   0.00 | blocked 63.9% | idle  0.3% | ent 0.423
  upd  136 | return    0.000 | deliv   0.00 | blocked 65.6% | idle  0.3% | ent 0.403
  upd  137 | return    0.000 | deliv   0.00 | blocked 68.8% | idle  0.3% | ent 0.395
  upd  138 | return    0.200 | deliv   0.20 | blocked 63.3% | idle  0.3% | ent 0.403
  upd  139 | return    0.000 | deliv   0.00 | blocked 64.9% | idle  0.3% | ent 0.367
  upd  140 | return    0.000 | deliv   0.00 | blocked 68.7% | idle  0.2% | ent 0.333
  upd  141 | return    0.000 | deliv   0.00 | blocked 74.8% | idle  0.2% | ent 0.315
  upd  142 | return    0.100 | deliv   0.10 | blocked 72.6% | idle  0.3% | ent 0.330
  upd  143 | return    0.000 | deliv   0.00 | blocked 71.2% | idle  0.3% | ent 0.351
  upd  144 | return    0.100 | deliv   0.10 | blocked 67.5% | idle  0.3% | ent 0.396
  upd  145 | return    0.200 | deliv   0.20 | blocked 66.2% | idle  0.3% | ent 0.434
  upd  146 | return    0.200 | deliv   0.20 | blocked 61.8% | idle  0.3% | ent 0.459
  upd  147 | return    0.100 | deliv   0.10 | blocked 63.9% | idle  0.5% | ent 0.548
  upd  148 | return    0.000 | deliv   0.00 | blocked 59.2% | idle  0.5% | ent 0.522
  upd  149 | return    0.200 | deliv   0.20 | blocked 58.5% | idle  0.4% | ent 0.523
  upd  150 | return    0.000 | deliv   0.00 | blocked 62.0% | idle  0.3% | ent 0.576
  upd  151 | return    0.000 | deliv   0.00 | blocked 51.6% | idle  0.4% | ent 0.592
  upd  152 | return    0.000 | deliv   0.00 | blocked 52.0% | idle  0.5% | ent 0.647
  upd  153 | return    0.000 | deliv   0.00 | blocked 46.3% | idle  0.5% | ent 0.662
  upd  154 | return    0.100 | deliv   0.10 | blocked 46.0% | idle  0.6% | ent 0.659
  upd  155 | return    0.100 | deliv   0.10 | blocked 47.7% | idle  0.4% | ent 0.605
  upd  156 | return    0.000 | deliv   0.00 | blocked 54.7% | idle  0.5% | ent 0.565
  upd  157 | return    0.100 | deliv   0.10 | blocked 53.4% | idle  0.4% | ent 0.615
  upd  158 | return    0.000 | deliv   0.00 | blocked 51.1% | idle  0.5% | ent 0.599
  upd  159 | return    0.000 | deliv   0.00 | blocked 51.8% | idle  0.5% | ent 0.668
  upd  160 | return    0.000 | deliv   0.00 | blocked 43.5% | idle  0.6% | ent 0.694
  upd  161 | return    0.200 | deliv   0.20 | blocked 40.8% | idle  0.6% | ent 0.759
  upd  162 | return    0.100 | deliv   0.10 | blocked 34.8% | idle  0.7% | ent 0.761
  upd  163 | return    0.000 | deliv   0.00 | blocked 33.9% | idle  0.7% | ent 0.766
  upd  164 | return    0.000 | deliv   0.00 | blocked 42.8% | idle  0.7% | ent 0.767
  upd  165 | return    0.000 | deliv   0.00 | blocked 43.0% | idle  0.8% | ent 0.793
  upd  166 | return    0.000 | deliv   0.00 | blocked 38.3% | idle  0.9% | ent 0.798
  upd  167 | return    0.100 | deliv   0.10 | blocked 40.0% | idle  0.8% | ent 0.768
  upd  168 | return    0.100 | deliv   0.10 | blocked 50.0% | idle  0.9% | ent 0.756
  upd  169 | return    0.100 | deliv   0.10 | blocked 50.5% | idle  0.6% | ent 0.672
  upd  170 | return    0.100 | deliv   0.10 | blocked 56.6% | idle  0.5% | ent 0.599
  upd  171 | return    0.000 | deliv   0.00 | blocked 60.4% | idle  0.6% | ent 0.576
  upd  172 | return    0.000 | deliv   0.00 | blocked 59.1% | idle  0.5% | ent 0.592
  upd  173 | return    0.200 | deliv   0.20 | blocked 59.8% | idle  0.5% | ent 0.660
  upd  174 | return    0.100 | deliv   0.10 | blocked 53.6% | idle  0.6% | ent 0.682
  upd  175 | return    0.200 | deliv   0.20 | blocked 50.7% | idle  0.7% | ent 0.718
  upd  176 | return    0.000 | deliv   0.00 | blocked 47.2% | idle  0.6% | ent 0.727
  upd  177 | return    0.000 | deliv   0.00 | blocked 47.0% | idle  0.7% | ent 0.737
  upd  178 | return    0.100 | deliv   0.10 | blocked 49.1% | idle  0.6% | ent 0.718
  upd  179 | return    0.200 | deliv   0.20 | blocked 50.6% | idle  0.7% | ent 0.740
  upd  180 | return    0.300 | deliv   0.30 | blocked 49.4% | idle  0.6% | ent 0.689
  upd  181 | return    0.100 | deliv   0.10 | blocked 57.3% | idle  0.6% | ent 0.683
